Live stream name,Number of products,Top 3 categories,Live stream time,Stream duration,Creator name,Revenue,Revenue per minute,Online viewers,Online viewers per minute,Views,Views per minute,Items sold,Items sold per minute,Average unit price
BIAJEE’S VINTAGE PARTY! (LIVE),2,"Sports & Outdoor, Womenswear & Underwear",08/04 11:28 ~ 08/04 18:19,6h 51m,biajeescollectibles,$28.48k,N/A,12.56k,N/A,12.56k,N/A,382,N/A,$74.56
Tymo ROVY!🩷,1,Beauty & Personal Care,08/11 20:50 ~ 08/11 21:52,1h 1m,rinas_life_journey,$28.43k,N/A,24.34k,N/A,24.34k,N/A,711,N/A,$39.99
Get yourself a mystery bag!,22,"Luggage & Bags, Pet Supplies",08/20 11:01 ~ 08/21 01:00,13h 58m,westernhandbag,$28.35k,N/A,93.64k,N/A,93.64k,N/A,438,N/A,$64.72
TikTok Shop,1,Household Appliances,08/06 23:01 ~ 08/07 02:48,3h 47m,armz4days,$28.15k,N/A,83.1k,N/A,83.1k,N/A,235,N/A,$119.79
Back to School,17,Toys & Hobbies,08/09 17:19 ~ 08/10 00:55,7h 36m,calipokehouse,$28.01k,N/A,43.62k,N/A,43.62k,N/A,533,N/A,$52.55
@Halara mentioned you in a live,22,"Sports & Outdoor, Womenswear & Underwear",08/22 21:00 ~ 08/23 00:01,3h,halara.us.live,$27.73k,N/A,52.27k,N/A,52.27k,N/A,980,N/A,$28.30
Ekko SALE!!,9,"Health, Baby & Maternity, Food & Beverages",08/05 15:52 ~ 08/05 19:26,3h 34m,walkoutshmean,$27.68k,N/A,16.74k,N/A,16.74k,N/A,1.04k,N/A,$26.66
9 Drawer Dresser!!!,4,"Home Supplies, Furniture",08/08 20:44 ~ 08/08 22:42,1h 58m,workingmama40,$27.51k,N/A,72.18k,N/A,72.18k,N/A,460,N/A,$59.80
LIVE Big Deals!💕,16,"Books, Magazines & Audio, Beauty & Personal Care",08/30 18:47 ~ 08/30 20:57,2h 10m,simplymandys,$27.42k,N/A,67.42k,N/A,67.42k,N/A,1.06k,N/A,$25.82
60% Off + Free Shipping,1,Home Supplies,08/03 13:42 ~ 08/03 16:17,2h 34m,shelbyvignal11,$27.39k,N/A,22.42k,N/A,22.42k,N/A,249,N/A,$109.99
DBO & JALEN SHOW 🎥,90,"Sports & Outdoor, Phones & Electronics, Computers & Office Equipment",08/14 23:34 ~ 08/15 06:44,7h 9m,theballersbank,$27.15k,N/A,29.1k,N/A,29.1k,N/A,96,N/A,$282.78
Hot deals SALES 💕❤,25,"Phones & Electronics, Household Appliances, Kitchenware",08/29 12:30 ~ 08/29 22:36,10h 5m,vibingout28,$27.05k,N/A,140.63k,N/A,140.63k,N/A,701,N/A,$38.58
Hot deals SALES 💕❤,29,"Phones & Electronics, Household Appliances, Kitchenware",09/01 12:30 ~ 09/01 19:35,7h 5m,vibingout28,$26.86k,N/A,154.68k,N/A,154.68k,N/A,752,N/A,$35.71
The World Needs More Cowgirls!,46,"Luggage & Bags, Pet Supplies",08/27 08:59 ~ 08/28 00:55,15h 55m,westernhandbag,$26.76k,N/A,79.43k,N/A,79.43k,N/A,789,N/A,$33.92
Up to 80% OFF #usa #clothes #fyp,77,"Womenswear & Underwear, Sports & Outdoor",08/03 14:22 ~ 08/04 02:01,11h 38m,highland.fashion7,$26.69k,N/A,56.72k,N/A,56.72k,N/A,2.45k,N/A,$10.89
🔥 Weekend Warriors 🔥,85,"Sports & Outdoor, Toys & Hobbies, Computers & Office Equipment",08/24 22:32 ~ 08/25 05:40,7h 7m,theballersbank,$26.67k,N/A,47.61k,N/A,47.61k,N/A,156,N/A,$170.95
COWSAR Nugget Ice Maker Countert,99,"Health, Furniture, Sports & Outdoor",08/13 07:44 ~ 08/13 21:21,13h 36m,meat.guy.out,$26.64k,N/A,51.57k,N/A,51.57k,N/A,499,N/A,$53.39
Welcome to my LIVE,30,"Kitchenware, Household Appliances, Beauty & Personal Care",08/30 15:00 ~ 08/30 23:40,8h 39m,cathypedrayes,$26.60k,N/A,111.51k,N/A,111.51k,N/A,836,N/A,$31.82
Back to School,15,"Womenswear & Underwear, Sports & Outdoor",08/10 13:02 ~ 08/10 22:00,8h 58m,oqqsports,$26.55k,N/A,120.42k,N/A,120.42k,N/A,918,N/A,$28.92
Get yourself a mystery bag!,28,"Luggage & Bags, Textiles & Soft Furnishings",08/21 11:02 ~ 08/22 00:55,13h 53m,westernhandbag,$26.53k,N/A,97.58k,N/A,97.58k,N/A,688,N/A,$38.56
Homeika HOT SALE,3,Household Appliances,08/03 16:17 ~ 08/03 19:19,3h 1m,thatneurospicymomma,$26.45k,N/A,213.86k,N/A,213.86k,N/A,341,N/A,$77.56
URO Women's Probiotics FLO,98,"Furniture, Health, Sports & Outdoor",08/30 07:58 ~ 08/30 20:00,12h 1m,meat.guy.out,$26.42k,N/A,52.44k,N/A,52.44k,N/A,423,N/A,$62.47
Gimbal 50% off August sales,20,Phones & Electronics,08/30 07:03 ~ 08/31 01:01,17h 57m,wellnesswizards4,$26.37k,N/A,415.63k,N/A,415.63k,N/A,1.36k,N/A,$19.35
COWSAR Nugget Ice Maker Countert,99,"Furniture, Sports & Outdoor, Health",08/16 06:36 ~ 08/16 18:18,11h 41m,meat.guy.out,$26.35k,N/A,39.21k,N/A,39.21k,N/A,342,N/A,$77.04
9 Drawer Dresser Sale Ending🚨,1,Home Supplies,08/06 16:53 ~ 08/07 00:56,8h 2m,jaydonhelpsyousave,$26.35k,N/A,60.53k,N/A,60.53k,N/A,425,N/A,$61.99
¡Transmisión en vivo con Maya!,32,"Health, Food & Beverages, Beauty & Personal Care",08/30 14:00 ~ 08/30 22:13,8h 12m,microingredients,$26.30k,N/A,84.51k,N/A,84.51k,N/A,1.29k,N/A,$20.34
Voweek BRUSH,1,Household Appliances,08/31 23:35 ~ 09/01 00:33,57m,timgroman,$25.92k,N/A,29.14k,N/A,29.14k,N/A,100,N/A,$259.24
Back to School,15,Womenswear & Underwear,08/09 19:27 ~ 08/10 01:22,5h 55m,calicurvesfajas,$25.78k,N/A,102.23k,N/A,102.23k,N/A,540,N/A,$47.73
Chit chat,1,Beauty & Personal Care,08/09 18:06 ~ 08/09 19:37,1h 30m,battledbutwinning,$25.75k,N/A,22k,N/A,22k,N/A,82,N/A,$314.00
A lot of people are ordering..,19,Sports & Outdoor,08/28 06:37 ~ 08/29 01:06,18h 29m,merach.us,$25.68k,N/A,84.69k,N/A,84.69k,N/A,386,N/A,$66.53
@Halara mentioned you in a live,15,"Sports & Outdoor, Womenswear & Underwear",08/11 21:00 ~ 08/11 23:55,2h 54m,halara.us.live,$25.61k,N/A,84.71k,N/A,84.71k,N/A,865,N/A,$29.61
Microingredients Vit D3 K2,2,Health,08/07 09:49 ~ 08/07 12:55,3h 5m,jasonttshop,$25.53k,N/A,60.88k,N/A,60.88k,N/A,842,N/A,$30.33
Carote 18pcs Cookware Set Sale!,2,Kitchenware,08/09 10:23 ~ 08/09 13:50,3h 26m,mauithegolden2,$25.49k,N/A,142.67k,N/A,142.67k,N/A,263,N/A,$96.91
70% off! SODAY Flash Sale,1,Kitchenware,08/16 13:00 ~ 08/16 17:04,4h 3m,soday.shop,$25.48k,N/A,178.74k,N/A,178.74k,N/A,298,N/A,$85.49
Come in and get good deals!!!!,1,Home Supplies,08/13 13:01 ~ 08/13 18:25,5h 23m,bestdealsdailyontiktok,$25.40k,N/A,118.49k,N/A,118.49k,N/A,960,N/A,$26.46
COWSAR Nugget Ice Maker Countert,99,"Furniture, Sports & Outdoor, Beauty & Personal Care",08/18 07:51 ~ 08/18 17:59,10h 8m,meat.guy.out,$25.40k,N/A,37k,N/A,37k,N/A,341,N/A,$74.48
Super Brand Day Sale,32,"Womenswear & Underwear, Fashion Accessories, Shoes",08/21 14:00 ~ 08/21 22:15,8h 14m,cider_official,$25.33k,N/A,42.86k,N/A,42.86k,N/A,972,N/A,$26.06
#fyp #viral #tiktok,12,"Home Supplies, Furniture, Household Appliances",08/10 17:25 ~ 08/10 20:13,2h 48m,socialwavelady,$25.27k,N/A,14.42k,N/A,14.42k,N/A,3.25k,N/A,$7.78
🌸 CEO packs Orders in Warehouse,42,"Beauty & Personal Care, Health",08/13 17:30 ~ 08/13 23:58,6h 28m,thebeachwaver,$25.13k,N/A,132.05k,N/A,132.05k,N/A,933,N/A,$26.94
Te mencionó,93,"Beauty & Personal Care, Health",08/15 19:16 ~ 08/16 00:01,4h 44m,yosoy_susana,$25.09k,N/A,43.53k,N/A,43.53k,N/A,738,N/A,$34.00
MEOKY skull cup!!!!,2,Kitchenware,08/29 05:47 ~ 08/29 13:48,8h 1m,wendyhensell,$25.09k,N/A,49.98k,N/A,49.98k,N/A,845,N/A,$29.69
$29 Ice Maker 🧊 | Ask for Codes,2,Household Appliances,08/17 14:09 ~ 08/17 22:18,8h 8m,wrappedofficial,$25.04k,N/A,323.56k,N/A,323.56k,N/A,229,N/A,$109.34
UNREAL ICE-MAKER DEAL!,4,"Health, Household Appliances, Food & Beverages",08/06 11:05 ~ 08/06 14:18,3h 12m,coltomn,$24.88k,N/A,160.33k,N/A,160.33k,N/A,536,N/A,$46.41
70% off! SODAY Flash Sale,1,Kitchenware,08/14 14:11 ~ 08/14 20:12,6h,soday.shop,$24.79k,N/A,80.88k,N/A,80.88k,N/A,290,N/A,$85.49
TIKTOK SHOP,1,Home Supplies,08/06 15:25 ~ 08/06 18:10,2h 45m,yessoliver,$24.73k,N/A,56.77k,N/A,56.77k,N/A,399,N/A,$61.99
