category_name,category_level,category_change_in_revenue_Yesterday,category_no_of_shops_Yesterday,category_revenue_growth_rate_Yesterday,category_avg_revenue_per_shop_Yesterday,category_top_3_shops_revenue_ratio_Yesterday,category_top_10_shops_revenue_ratio_Yesterday,category_soa_revenue_share_Yesterday,category_aff_revenue_share_Yesterday,category_mall_revenue_share_Yesterday,category_change_in_revenue_Last_7_Days,category_no_of_shops_Last_7_Days,category_revenue_growth_rate_Last_7_Days,category_avg_revenue_per_shop_Last_7_Days,category_top_3_shops_revenue_ratio_Last_7_Days,category_top_10_shops_revenue_ratio_Last_7_Days,category_soa_revenue_share_Last_7_Days,category_aff_revenue_share_Last_7_Days,category_mall_revenue_share_Last_7_Days,category_change_in_revenue_Last_30_Days,category_no_of_shops_Last_30_Days,category_revenue_growth_rate_Last_30_Days,category_avg_revenue_per_shop_Last_30_Days,category_top_3_shops_revenue_ratio_Last_30_Days,category_top_10_shops_revenue_ratio_Last_30_Days,category_soa_revenue_share_Last_30_Days,category_aff_revenue_share_Last_30_Days,category_mall_revenue_share_Last_30_Days,category_change_in_revenue_Last_90_Days,category_no_of_shops_Last_90_Days,category_revenue_growth_rate_Last_90_Days,category_avg_revenue_per_shop_Last_90_Days,category_top_3_shops_revenue_ratio_Last_90_Days,category_top_10_shops_revenue_ratio_Last_90_Days,category_soa_revenue_share_Last_90_Days,category_aff_revenue_share_Last_90_Days,category_mall_revenue_share_Last_90_Days,category_change_in_revenue_Last_180_Days,category_no_of_shops_Last_180_Days,category_revenue_growth_rate_Last_180_Days,category_avg_revenue_per_shop_Last_180_Days,category_top_3_shops_revenue_ratio_Last_180_Days,category_top_10_shops_revenue_ratio_Last_180_Days,category_soa_revenue_share_Last_180_Days,category_aff_revenue_share_Last_180_Days,category_mall_revenue_share_Last_180_Days
Kitchenware,L1,2%,557,0.00%,$446.82,26.00%,50.50%,(5.76%),(85.5%),(8.74%),3%,781,-30.40%,$3.15k,26.15%,57.47%,(5.93%),(86.02%),(8.05%),3%,1116,-24.68%,$10.68k,25.84%,58.25%,(5.59%),(84.07%),(10.07%),2%,2006,-6.40%,$18.65k,24.03%,55.26%,(4.41%),(81.23%),(12.92%),3%,4013,8.13%,$17.94k,23.93%,48.23%,(4.08%),(77.91%),(17.01%)
Wellness Supplements,L3,26%,59,0.00%,$4.98k,49.25%,81.47%,(5.63%),(92.01%),(2.36%),29%,81,-16.20%,$27.90k,51.16%,81.98%,(5.46%),(91.92%),(2.62%),28%,122,-18.58%,$96.08k,49.67%,79.96%,(5.67%),(87.69%),(6.38%),37%,208,-34.09%,$225.73k,50.66%,85.30%,(3.78%),(84.98%),(8.16%),28%,368,107.53%,$189.06k,57.64%,85.22%,(3.28%),(85.63%),(8.32%)
Home Care Supplies,L2,46%,261,0.00%,$1.04k,69.54%,82.86%,(2.93%),(90.04%),(7.03%),45%,374,-19.02%,$6.10k,67.56%,78.75%,(4.01%),(89.09%),(6.9%),44%,533,-42.43%,$20.50k,66.14%,77.47%,(3.45%),(67.11%),(29.41%),42%,958,34.44%,$27.13k,55.63%,69.76%,(4.46%),(71.77%),(23.14%),39%,1975,72.85%,$20.78k,49.35%,64.03%,(5.01%),(72.52%),(21.87%)
Perfume,L3,31%,151,0.00%,$1.50k,32.26%,61.30%,(7.32%),(80.76%),(11.92%),30%,209,-20.71%,$9.54k,34.48%,63.83%,(5.6%),(82.24%),(12.16%),32%,307,-32.38%,$35.42k,34.01%,65.44%,(4.2%),(77.44%),(18.2%),30%,683,0.22%,$47.69k,30.30%,59.76%,(3.37%),(72.6%),(23.04%),29%,1104,15.85%,$54.97k,26.47%,58.56%,(3.27%),(66.92%),(29.18%)
Automotive & Motorcycle,L1,2%,578,0.00%,$463.34,25.42%,41.79%,(10.05%),(78.63%),(11.32%),3%,796,-19.67%,$3.17k,31.54%,51.48%,(7.64%),(68.44%),(23.93%),2%,1122,-19.29%,$9.47k,19.90%,42.49%,(7.6%),(71.09%),(21.22%),2%,1744,-20.41%,$21.55k,19.12%,40.74%,(6.82%),(67.53%),(24.55%),3%,2730,9.05%,$26.39k,15.90%,35.83%,(6.23%),(66.5%),(26.56%)
Fitness Equipment,L2,35%,217,0.00%,$1.34k,36.88%,70.79%,(20.57%),(74.38%),(5.04%),36%,277,-9.71%,$8.03k,32.65%,67.59%,(19.07%),(75.25%),(5.68%),34%,407,-19.35%,$25.84k,37.20%,70.29%,(19.23%),(74.22%),(6.48%),33%,700,-23.93%,$50.92k,41.99%,68.73%,(9.5%),(74.52%),(14.69%),32%,1209,38.68%,$50.74k,37.17%,63.47%,(5.95%),(74.07%),(19.03%)
Hair Care & Styling,L2,10%,352,0.00%,$691.57,24.19%,50.44%,(14.44%),(77.16%),(8.39%),10%,481,-21.79%,$4.40k,26.32%,51.64%,(10.33%),(80.52%),(9.16%),10%,666,-22.49%,$15.71k,25.29%,46.79%,(9.71%),(80.96%),(9.24%),11%,1214,10.66%,$28.87k,24.46%,48.81%,(9.9%),(65.99%),(23.33%),10%,1933,19.64%,$33.29k,18.78%,39.23%,(9.44%),(67.55%),(21.93%)
Hair Accessories,L2,53%,332,0.00%,$825.28,24.71%,47.74%,(22.81%),(65.27%),(11.91%),52%,422,-19.83%,$4.99k,23.07%,46.26%,(17.98%),(66.58%),(15.44%),54%,519,-20.17%,$19.88k,25.55%,49.32%,(16.12%),(67.49%),(16.31%),53%,759,0.99%,$41.11k,24.75%,49.05%,(15.74%),(62.51%),(21.44%),54%,1359,4.41%,$44.95k,25.68%,50.97%,(15.43%),(62.43%),(21.96%)
Phones and Accessories,L2,37%,561,0.00%,$434.94,19.03%,41.26%,(8.31%),(81.61%),(10.09%),39%,766,-12.09%,$2.52k,19.01%,42.77%,(8.88%),(80.11%),(11.01%),40%,1079,-32.26%,$9.45k,23.36%,42.47%,(7.68%),(80.9%),(11.32%),40%,1738,-11.84%,$21.71k,24.34%,43.16%,(6.05%),(76.27%),(16.69%),34%,2733,48.96%,$23.08k,19.73%,38.33%,(6.33%),(72.79%),(20.1%)
Textiles & Soft Furnishings,L1,2%,330,0.00%,$737.98,25.69%,48.57%,(5.85%),(84.23%),(9.92%),2%,469,-14.06%,$4.28k,20.03%,46.39%,(3.71%),(86.08%),(10.21%),2%,634,-18.09%,$15.87k,19.42%,43.37%,(3.25%),(85.3%),(11.24%),2%,981,-9.01%,$35.49k,25.03%,44.19%,(2.61%),(80.26%),(16.11%),2%,1728,52.09%,$33.40k,17.84%,40.85%,(2.72%),(76.08%),(20.06%)
