category_name,category_level,category_change_in_revenue_Yesterday,category_no_of_shops_Yesterday,category_revenue_growth_rate_Yesterday,category_avg_revenue_per_shop_Yesterday,category_top_3_shops_revenue_ratio_Yesterday,category_top_10_shops_revenue_ratio_Yesterday,category_soa_revenue_share_Yesterday,category_aff_revenue_share_Yesterday,category_mall_revenue_share_Yesterday,category_change_in_revenue_Last_7_Days,category_no_of_shops_Last_7_Days,category_revenue_growth_rate_Last_7_Days,category_avg_revenue_per_shop_Last_7_Days,category_top_3_shops_revenue_ratio_Last_7_Days,category_top_10_shops_revenue_ratio_Last_7_Days,category_soa_revenue_share_Last_7_Days,category_aff_revenue_share_Last_7_Days,category_mall_revenue_share_Last_7_Days,category_change_in_revenue_Last_30_Days,category_no_of_shops_Last_30_Days,category_revenue_growth_rate_Last_30_Days,category_avg_revenue_per_shop_Last_30_Days,category_top_3_shops_revenue_ratio_Last_30_Days,category_top_10_shops_revenue_ratio_Last_30_Days,category_soa_revenue_share_Last_30_Days,category_aff_revenue_share_Last_30_Days,category_mall_revenue_share_Last_30_Days,category_change_in_revenue_Last_90_Days,category_no_of_shops_Last_90_Days,category_revenue_growth_rate_Last_90_Days,category_avg_revenue_per_shop_Last_90_Days,category_top_3_shops_revenue_ratio_Last_90_Days,category_top_10_shops_revenue_ratio_Last_90_Days,category_soa_revenue_share_Last_90_Days,category_aff_revenue_share_Last_90_Days,category_mall_revenue_share_Last_90_Days,category_change_in_revenue_Last_180_Days,category_no_of_shops_Last_180_Days,category_revenue_growth_rate_Last_180_Days,category_avg_revenue_per_shop_Last_180_Days,category_top_3_shops_revenue_ratio_Last_180_Days,category_top_10_shops_revenue_ratio_Last_180_Days,category_soa_revenue_share_Last_180_Days,category_aff_revenue_share_Last_180_Days,category_mall_revenue_share_Last_180_Days
Overalls,L3,74%,222,0.00%,$303.82,27.85%,54.96%,(12.18%),(76.56%),(11.26%),78%,309,-15.17%,$1.77k,24.04%,52.21%,(8.04%),(78.21%),(13.75%),78%,403,-24.53%,$6.97k,21.21%,48.52%,(8.96%),(75.69%),(15.29%),81%,667,-34.54%,$17.38k,23.07%,41.47%,(6.03%),(66.11%),(27.16%),86%,1061,-1.14%,$21.97k,32.17%,46.70%,(4.96%),(69.08%),(25.57%)
Trousers,L3,23%,95,0.00%,$753.26,71.53%,83.61%,(10.09%),(82.47%),(7.44%),21%,137,-1.75%,$3.87k,64.87%,81.83%,(15.1%),(74.67%),(10.23%),23%,183,-18.31%,$15.26k,56.27%,81.18%,(14.77%),(72.55%),(12.64%),18%,291,39.43%,$23.48k,50.27%,74.47%,(13.52%),(64.68%),(21.51%),17%,576,93.37%,$17.99k,40.07%,64.56%,(13.87%),(56.84%),(29.09%)
Shorts,L3,42%,72,0.00%,$697.72,79.18%,91.50%,(1.28%),(93.87%),(4.85%),50%,90,-15.19%,$5.34k,80.10%,91.87%,(0.91%),(94.55%),(4.54%),52%,114,-38.50%,$24.48k,75.35%,90.42%,(1.09%),(93.72%),(5.06%),57%,172,-11.18%,$57.40k,71.22%,86.20%,(0.67%),(86%),(13.05%),49%,233,321.92%,$52.41k,63.18%,82.47%,(0.91%),(81.13%),(17.72%)
Nasal & Oral Care,L2,3%,8,0.00%,$7.68k,75.64%,100.00%,(2.17%),(97.54%),(0.29%),3%,10,5.91%,$56.45k,76.81%,100.00%,(1.19%),(92.98%),(5.83%),3%,10,-23.19%,$278.75k,73.22%,100.00%,(1.9%),(93.13%),(4.89%),2%,10,37.52%,$682.67k,83.03%,100.00%,(1.24%),(92.98%),(4.84%),2%,10,54.46%,$1.12m,89.70%,100.00%,(1.3%),(94.69%),(2.95%)
Body Beauty Devices,L3,11%,59,0.00%,$786.15,60.36%,89.62%,(0.78%),(89.71%),(9.51%),11%,92,-26.54%,$4.97k,63.41%,91.74%,(0.71%),(92.52%),(6.77%),14%,125,-10.00%,$21.46k,71.41%,93.54%,(2.23%),(92.2%),(5.56%),16%,N/A,-22.55%,$39.77k,70.40%,91.19%,(1.74%),(85.52%),(11.58%),19%,359,-5.61%,$51.34k,64.53%,90.76%,(0.88%),(87.04%),(11.2%)
Car Repair Tools,L2,21%,79,0.00%,$706.65,34.70%,75.59%,(4.39%),(86.25%),(9.37%),21%,109,-20.52%,$4.79k,35.55%,76.43%,(3.87%),(85.9%),(10.24%),25%,165,-28.79%,$16.07k,39.98%,75.92%,(2.86%),(85.27%),(11.83%),20%,243,6.74%,$30.23k,37.32%,75.80%,(2.51%),(77.78%),(19.17%),19%,392,27.61%,$33.42k,38.54%,73.77%,(1.89%),(72.06%),(25.7%)
Kitchen Utensils & Gadgets,L2,21%,171,0.00%,$308.73,53.06%,69.08%,(1.59%),(86.44%),(11.97%),20%,230,-17.62%,$2.11k,56.51%,70.84%,(2.17%),(88.84%),(9%),22%,323,-28.17%,$8.03k,58.88%,71.82%,(1.6%),(86.3%),(12.05%),24%,582,2.11%,$14.95k,56.25%,72.31%,(1.57%),(82.12%),(15.21%),22%,1340,23.89%,$11.73k,50.29%,63.16%,(2.5%),(76.38%),(20.31%)
Dog & Cat Grooming,L2,38%,63,0.00%,$1.01k,58.95%,92.33%,(3.59%),(91.03%),(5.37%),41%,86,-17.91%,$7.31k,60.74%,95.04%,(1.23%),(88.76%),(10.01%),39%,121,-13.01%,$20.44k,62.04%,93.65%,(1.38%),(86.29%),(12.24%),32%,209,21.54%,$31.44k,57.65%,89.15%,(1.3%),(83.54%),(13.23%),36%,418,13.78%,$29.54k,48.92%,88.27%,(1.3%),(84.49%),(12.98%)
Trousers,L3,50%,94,0.00%,$631.23,38.87%,75.07%,(10.06%),(77.69%),(12.25%),45%,121,-19.78%,$3.57k,38.90%,71.35%,(6.82%),(80.01%),(13.17%),45%,148,-20.27%,$16.47k,39.90%,71.71%,(4.45%),(82.03%),(13.5%),41%,218,8.37%,$32.90k,29.45%,67.79%,(3.47%),(72.72%),(23.67%),49%,335,43.42%,$36.34k,35.20%,67.66%,(3.1%),(70.13%),(26.62%)
Air Purifiers,L3,13%,42,0.00%,$957.78,70.31%,92.72%,(0.17%),(89.92%),(9.91%),11%,59,-26.24%,$6.76k,70.34%,93.60%,(0.17%),(91.23%),(8.61%),21%,86,-39.62%,$28.26k,75.95%,92.73%,(0.23%),(89.03%),(10.71%),17%,N/A,N/A,N/A,N/A,N/A,(0.23%),(89.03%),(10.71%),18%,143,5.78%,$46.07k,61.30%,86.56%,(0.35%),(84.42%),(13.92%)
Baby & Maternity,L1,0%,98,0.00%,$581.45,49.27%,71.85%,(6.8%),(87.19%),(6.01%),0%,168,-14.17%,$2.76k,44.62%,68.77%,(8.09%),(82.98%),(8.93%),1%,299,-32.10%,$8.08k,49.67%,70.89%,(6.06%),(85.37%),(8.42%),0%,540,11.61%,$11.87k,39.18%,64.53%,(7.43%),(77.54%),(13.9%),0%,665,9.58%,$18.43k,44.03%,74.80%,(9.25%),(77.46%),(12.67%)
Men Shoes,L2,35%,157,0.00%,$353.91,35.06%,57.87%,(7.83%),(77.19%),(14.97%),38%,219,-13.91%,$2.24k,31.80%,55.30%,(5.37%),(80.8%),(13.83%),37%,282,-13.80%,$8.55k,29.48%,53.99%,(6.82%),(78.12%),(14.89%),36%,417,3.80%,$18.42k,26.85%,50.93%,(4.05%),(69.97%),(25.55%),33%,606,52.47%,$20.99k,28.47%,47.83%,(3.65%),(65.23%),(30.81%)
Hoodies & Jumpers,L3,45%,145,0.00%,$676.54,48.67%,77.84%,(4.09%),(85.65%),(10.26%),40%,213,-9.48%,$3.23k,40.66%,74.37%,(5.83%),(82.24%),(11.93%),31%,336,31.00%,$7.18k,40.20%,63.88%,(6.94%),(79.04%),(13.96%),23%,555,18.91%,$10.83k,32.67%,53.41%,(6.56%),(58.04%),(34.93%),24%,1336,9.50%,$8.60k,22.41%,39.62%,(9.19%),(49.68%),(40.88%)
Car Washing & Maintenance,L2,19%,92,0.00%,$537.79,59.50%,80.16%,(15.17%),(77.02%),(7.81%),19%,130,-19.79%,$3.69k,61.57%,80.09%,(12.46%),(75.87%),(11.66%),23%,188,-24.17%,$12.62k,59.11%,81.15%,(12.51%),(73.88%),(13.58%),21%,336,-7.98%,$22.80k,50.55%,79.12%,(13.92%),(65.52%),(18.98%),19%,596,26.88%,$22.98k,48.24%,75.63%,(14.37%),(61.21%),(23.4%)
Serums & Essences,L3,8%,67,0.00%,$650.49,34.01%,75.98%,(5.66%),(81.45%),(12.89%),8%,92,-13.40%,$4.04k,32.76%,78.90%,(2.3%),(84.68%),(13.02%),11%,120,-42.72%,$19.71k,50.63%,84.02%,(1.73%),(88.27%),(9.27%),10%,268,5.62%,$24.87k,48.87%,79.08%,(2.84%),(79.12%),(15.8%),11%,466,-0.18%,$28.63k,46.75%,75.31%,(3.25%),(76.3%),(19.08%)
Candy,L3,59%,100,0.00%,$1.01k,61.76%,83.05%,(32.98%),(63.31%),(3.71%),52%,149,-2.74%,$4.07k,57.12%,79.64%,(31.71%),(62.37%),(5.93%),48%,218,6.19%,$10.80k,46.63%,73.99%,(30.72%),(61.92%),(7.3%),46%,354,-12.95%,$22.25k,37.96%,70.73%,(21.57%),(61.48%),(15.85%),44%,546,16.66%,$26.79k,27.66%,61.68%,(17.85%),(63.19%),(18.11%)
Jackets & Coats,L3,12%,114,0.00%,$675.09,47.91%,77.84%,(3.21%),(92.4%),(4.39%),14%,149,-44.94%,$5.12k,62.26%,82.16%,(3.02%),(93.85%),(3.13%),9%,185,57.15%,$12.28k,48.15%,76.82%,(3.73%),(90.66%),(5.48%),5%,285,162.40%,$14.39k,44.94%,71.61%,(3.03%),(85.65%),(11.15%),4%,615,111.90%,$9.81k,35.31%,62.91%,(4.18%),(77.3%),(18.35%)
Massage Devices,L3,16%,7,0.00%,$10.40k,80.18%,100.00%,(13.45%),(82.19%),(4.36%),17%,7,-17.53%,$100.76k,85.43%,100.00%,(6.76%),(85.75%),(7.49%),11%,7,121.17%,$323.38k,86.06%,100.00%,(9.55%),(82.84%),(7.46%),11%,N/A,N/A,N/A,N/A,N/A,(9.55%),(82.84%),(7.46%),7%,9,471.30%,$791.66k,82.99%,100.00%,(7.79%),(83.19%),(6.69%)
Concealer & Foundation,L3,6%,74,0.00%,$554.66,67.59%,83.19%,(4.42%),(88.01%),(7.58%),6%,101,-25.50%,$3.99k,72.89%,85.59%,(5.27%),(88.24%),(6.49%),7%,144,-33.44%,$15.67k,77.10%,88.01%,(5.12%),(88.98%),(5.84%),7%,230,-21.67%,$30.99k,68.40%,87.65%,(5.81%),(85.17%),(7.81%),8%,410,-27.93%,$41.50k,70.02%,87.10%,(6.94%),(84.68%),(7.33%)
Bras,L3,17%,79,0.00%,$751.19,55.16%,83.30%,(11.55%),(79.5%),(8.95%),16%,103,-21.28%,$4.88k,53.37%,81.99%,(7.55%),(82.38%),(10.06%),17%,119,-6.77%,$18.92k,51.71%,78.65%,(8.32%),(80.54%),(11.08%),16%,165,13.96%,$38.84k,44.13%,74.73%,(10.04%),(67.12%),(22.12%),21%,287,-5.29%,$45.90k,49.58%,75.93%,(8.15%),(58.03%),(33.4%)
Clothes Accessories,L2,10%,383,0.00%,$135.55,17.87%,34.88%,(33.59%),(37.29%),(29.12%),12%,546,-37.27%,$861.87,21.77%,37.95%,(25.3%),(46.72%),(27.97%),11%,744,-1.99%,$2.84k,18.87%,35.57%,(26.37%),(44.21%),(29.41%),14%,1170,-33.64%,$7.03k,22.21%,35.74%,(19.87%),(38.28%),(41.65%),15%,2045,-6.95%,$8.35k,19.20%,34.98%,(21.8%),(35.61%),(42.44%)
Tracksuits,L3,20%,129,0.00%,$497.74,45.61%,72.69%,(4.94%),(77.2%),(17.86%),16%,195,-6.05%,$1.97k,45.14%,69.42%,(7.3%),(79.98%),(12.72%),18%,276,-24.89%,$7.60k,44.60%,69.64%,(13.28%),(75.2%),(11.46%),17%,478,1.02%,$14.54k,46.20%,68.37%,(9.78%),(75.74%),(13.88%),19%,719,-23.21%,$22.26k,50.89%,71.72%,(8.46%),(80.03%),(11.22%)
Eyeliner & Lipliner,L3,9%,95,0.00%,$690.78,70.28%,84.29%,(5.48%),(87.26%),(7.27%),8%,130,-13.41%,$3.92k,71.75%,83.87%,(3.4%),(89.27%),(7.33%),6%,158,1.30%,$12.86k,64.73%,78.02%,(3.8%),(86.37%),(9.81%),7%,240,-17.70%,$31.10k,66.91%,78.59%,(5.39%),(82%),(12.1%),7%,455,7.02%,$31.73k,66.71%,77.22%,(4.83%),(83.69%),(11.05%)
Household Textiles,L2,22%,117,0.00%,$449.46,62.97%,79.27%,(2.88%),(83.39%),(13.73%),19%,174,-1.97%,$2.20k,54.23%,77.12%,(3.54%),(82.46%),(14%),20%,244,-20.20%,$8.33k,57.01%,76.15%,(2.78%),(80.68%),(16.48%),17%,406,1.35%,$14.28k,54.42%,74.17%,(2.1%),(74.64%),(22.75%),18%,764,29.28%,$13.46k,47.08%,69.67%,(1.28%),(68.28%),(28.59%)
Humanities & Social Sciences,L2,67%,64,0.00%,$1.10k,65.86%,92.01%,(4.34%),(92.75%),(2.91%),67%,91,-23.17%,$6.30k,62.67%,90.74%,(3.97%),(92.57%),(3.46%),65%,136,29.09%,$14.93k,57.34%,88.85%,(6.11%),(88.06%),(5.82%),61%,247,-15.64%,$26.91k,63.88%,89.37%,(4.39%),(85.18%),(10.01%),53%,404,33.57%,$28.77k,63.34%,86.60%,(4.25%),(81.86%),(13.59%)
Face Masks,L3,9%,25,0.00%,$1.84k,96.46%,99.24%,(0.36%),(90.07%),(9.57%),10%,41,-13.21%,$10.64k,96.84%,98.94%,(0.53%),(96.81%),(2.66%),9%,78,-5.52%,$25.47k,96.10%,98.56%,(0.7%),(97.43%),(1.74%),9%,160,-4.42%,$39.55k,95.22%,97.82%,(1.16%),(93.58%),(4.75%),6%,245,305.29%,$32.20k,88.49%,94.74%,(1.81%),(86.69%),(11%)
Ball Sports Equipment,L2,7%,130,0.00%,$441.45,46.69%,73.98%,(64.6%),(32.51%),(2.9%),4%,195,21.18%,$1.42k,29.08%,59.87%,(47.34%),(39.15%),(13.51%),6%,328,-46.70%,$6.05k,35.07%,57.74%,(43.56%),(36.44%),(20%),6%,606,38.38%,$10.16k,29.79%,49.16%,(41.64%),(36.03%),(21.92%),5%,850,145.44%,$10.19k,29.91%,46.46%,(36.78%),(39.09%),(23.7%)
Water Bottles,L3,52%,53,0.00%,$675.72,71.24%,95.14%,(2.37%),(95.02%),(2.61%),49%,86,-52.38%,$5.05k,81.92%,95.89%,(2.95%),(93.39%),(3.66%),54%,128,-23.18%,$15.48k,81.97%,95.59%,(1.85%),(93.41%),(4.3%),59%,292,-24.83%,$24.12k,79.74%,94.25%,(3.25%),(88.96%),(5.15%),58%,808,56.72%,$14.28k,71.96%,90.28%,(5.55%),(84.73%),(7.84%)
Leggings,L3,25%,35,0.00%,$2.23k,82.12%,97.16%,(0.63%),(98.32%),(1.05%),20%,47,-8.72%,$10.70k,77.41%,96.41%,(1.81%),(96.14%),(2.05%),16%,60,10.98%,$32.45k,72.93%,96.09%,(3.14%),(93.51%),(3.3%),10%,86,95.24%,$42.91k,62.17%,92.10%,(5.43%),(85.83%),(8.17%),7%,220,359.15%,$20.43k,53.72%,82.87%,(7.52%),(79.7%),(12.31%)
Bra Accessories,L3,13%,47,0.00%,$963.99,81.14%,96.24%,(1.53%),(94.51%),(3.97%),16%,67,-22.04%,$7.23k,89.46%,97.68%,(1.58%),(96.47%),(1.96%),14%,93,-8.71%,$20.79k,83.97%,95.21%,(5.24%),(91.31%),(3.39%),13%,142,6.40%,$35.44k,72.29%,91.60%,(4.41%),(81.64%),(13.24%),11%,210,206.67%,$31.78k,67.82%,87.36%,(4.21%),(77.13%),(18.13%)
Body & Massage Oil,L3,31%,136,0.00%,$371.73,40.58%,62.75%,(25.28%),(57.47%),(17.25%),29%,198,-20.83%,$1.93k,34.61%,58.29%,(17.18%),(65.02%),(17.8%),29%,269,-8.28%,$6.99k,36.44%,58.78%,(18.86%),(61.72%),(19.37%),29%,480,-20.46%,$13.17k,33.25%,58.98%,(15.84%),(55.37%),(27.68%),30%,838,-22.44%,$17.27k,34.85%,56.40%,(10.51%),(63.56%),(25.11%)
Dog & Cat Litter,L2,24%,50,0.00%,$791.90,63.25%,87.30%,(9.43%),(82.34%),(8.22%),31%,81,-6.67%,$5.77k,78.36%,90.87%,(6.03%),(89.34%),(4.63%),29%,117,0.37%,$15.90k,70.40%,88.66%,(5.03%),(90.13%),(4.41%),32%,188,-17.46%,$34.51k,69.31%,89.26%,(3.69%),(83.01%),(10.14%),26%,362,175.29%,$24.43k,69.46%,88.89%,(4.28%),(77.02%),(16.29%)
Alternative Medications & Treatments,L2,3%,29,0.00%,$1.45k,56.70%,95.59%,(10.66%),(75.3%),(14.04%),4%,41,-29.61%,$9.26k,57.33%,93.40%,(8.95%),(75.16%),(15.89%),4%,54,-1.86%,$33.79k,55.39%,91.96%,(9.87%),(79.02%),(11.11%),4%,98,16.85%,$49.92k,56.55%,87.29%,(8.49%),(69.23%),(21.3%),3%,199,27.12%,$43.92k,41.74%,76.52%,(7.13%),(65.91%),(26.34%)
Facial Beauty Devices,L3,7%,62,0.00%,$534.14,60.69%,88.71%,(0.2%),(90.71%),(9.09%),7%,80,-21.69%,$3.63k,64.89%,88.67%,(0.57%),(89.15%),(10.28%),9%,106,-37.29%,$16.82k,76.86%,89.96%,(0.57%),(84.58%),(14.81%),7%,207,35.72%,$19.05k,65.98%,83.57%,(2.68%),(79.33%),(17.12%),7%,388,44.16%,$17.22k,53.52%,79.03%,(3.96%),(74.09%),(21.3%)
Mops,L3,20%,30,0.00%,$1.56k,72.08%,94.95%,(1.24%),(95.23%),(3.53%),18%,45,-14.65%,$7.38k,61.70%,90.38%,(1.67%),(91.91%),(6.42%),19%,58,-28.28%,$30.24k,57.87%,91.67%,(1.74%),(92.46%),(5.77%),20%,95,37.22%,$46.52k,56.09%,88.19%,(1.26%),(82.29%),(15.81%),19%,245,99.76%,$27.07k,58.48%,83.71%,(1.02%),(82.44%),(15.85%)
Security & Safety,L2,31%,122,0.00%,$357.65,33.22%,62.94%,(4.6%),(83.86%),(11.54%),35%,165,-27.37%,$2.55k,39.82%,65.31%,(3.5%),(87.22%),(9.28%),30%,224,6.29%,$7.70k,31.68%,59.10%,(3.54%),(80.16%),(16.25%),25%,384,-5.77%,$12.96k,25.45%,48.96%,(3.05%),(71.52%),(25.1%),31%,845,-27.13%,$13.97k,24.10%,45.45%,(2.1%),(70.3%),(27.27%)
"Carpets, Mats & Rugs",L3,77%,71,0.00%,$570.34,73.98%,86.36%,(1.72%),(86.13%),(12.15%),75%,99,0.47%,$2.91k,68.36%,84.22%,(1.29%),(86.97%),(11.74%),83%,129,-24.11%,$13.08k,68.63%,84.41%,(1.19%),(84.49%),(14.29%),83%,221,0.60%,$21.90k,65.21%,81.75%,(1.21%),(79.15%),(19.08%),85%,445,24.93%,$19.58k,55.57%,76.55%,(0.73%),(72.76%),(24.39%)
Staples & Cooking Essentials,L2,14%,58,0.00%,$1.09k,86.05%,93.30%,(47.29%),(48.15%),(4.56%),10%,90,-1.72%,$3.71k,74.14%,88.89%,(26.44%),(68.63%),(4.94%),11%,133,-31.77%,$12.60k,70.15%,87.21%,(24.57%),(71.04%),(4.28%),14%,247,-28.47%,$28.35k,77.42%,89.29%,(14.21%),(76.53%),(8.54%),11%,401,145.16%,$24.59k,66.35%,83.11%,(18.11%),(71.14%),(10.14%)
Toothpastes,L3,67%,2,0.00%,$20.47k,100.00%,100.00%,(0%),(99.57%),(0.43%),67%,2,16.88%,$188.13k,100.00%,100.00%,(0%),(91.5%),(8.5%),60%,2,-16.26%,$836.44k,100.00%,100.00%,(0%),(93.5%),(6.48%),58%,2,51.88%,$1.96m,100.00%,100.00%,(0%),(95.52%),(3.98%),37%,2,1759.17%,$2.07m,100.00%,100.00%,(0%),(95.7%),(3.79%)
Pots,L3,49%,25,0.00%,$1.36k,88.07%,97.99%,(22.32%),(76.46%),(1.22%),57%,32,-32.88%,$10.51k,91.71%,98.63%,(24.69%),(74.48%),(0.82%),56%,58,-26.05%,$28.35k,92.16%,97.56%,(22.89%),(75.04%),(1.9%),52%,114,6.72%,$37.11k,88.26%,96.32%,(9.38%),(84.53%),(4.52%),55%,319,-35.69%,$33.88k,83.90%,94.62%,(3.67%),(87.18%),(8.16%)
Face Scrubs & Peels,L3,7%,46,0.00%,$813.92,71.95%,90.80%,(0.64%),(91.94%),(7.42%),7%,61,-26.10%,$5.32k,72.03%,90.07%,(0.52%),(92.6%),(6.88%),7%,85,-23.27%,$18.79k,66.81%,88.95%,(0.77%),(90.94%),(8.1%),9%,157,-15.20%,$40.08k,63.65%,89.19%,(1.49%),(76.52%),(20.41%),9%,289,29.62%,$38.57k,59.23%,83.74%,(1.75%),(78.71%),(18.62%)
Toners,L3,6%,39,0.00%,$817.71,78.35%,91.36%,(4.92%),(92.35%),(2.73%),7%,55,-11.32%,$5.40k,79.42%,91.44%,(4.25%),(91.59%),(4.16%),7%,71,-27.37%,$22.45k,79.19%,91.21%,(6.08%),(88.39%),(5.49%),7%,126,15.41%,$35.45k,73.93%,86.94%,(7.3%),(83.52%),(8.01%),6%,233,96.02%,$28.95k,64.28%,83.01%,(8.83%),(78.4%),(11.86%)
Garden Supplies,L2,28%,142,0.00%,$281.40,48.44%,65.45%,(7.36%),(81.06%),(11.59%),28%,230,-4.72%,$1.45k,45.49%,63.49%,(7.86%),(79.58%),(12.56%),27%,335,-14.75%,$4.70k,47.07%,63.33%,(7.87%),(77%),(15.08%),30%,590,-31.20%,$10.05k,42.07%,57.49%,(5.94%),(69.46%),(24.23%),29%,1051,22.58%,$10.24k,33.94%,49.96%,(6.38%),(65.62%),(27.67%)
Knickers,L3,9%,51,0.00%,$603.22,66.09%,89.72%,(0.55%),(89.12%),(10.33%),10%,61,-29.01%,$5.02k,73.16%,92.93%,(0.42%),(91.96%),(7.62%),12%,80,-23.38%,$19.61k,72.24%,92.00%,(1.09%),(89.74%),(9.12%),13%,104,0.67%,$49.18k,70.29%,93.22%,(0.52%),(84.67%),(13.78%),10%,154,339.60%,$40.77k,66.17%,90.27%,(0.56%),(78.13%),(20.46%)
Combs & Brushes,L3,72%,38,0.00%,$991.72,90.57%,97.57%,(0.5%),(95.81%),(3.69%),69%,51,-6.38%,$6.82k,93.10%,97.41%,(0.29%),(93.16%),(6.55%),80%,67,-23.82%,$23.18k,92.40%,97.08%,(0.32%),(85.73%),(13.85%),81%,120,30.71%,$30.57k,84.32%,92.93%,(0.66%),(82.06%),(15.01%),89%,250,-13.55%,$31.65k,73.52%,92.20%,(0.89%),(84.66%),(13.15%)
Selfie Accessories,L3,21%,105,0.00%,$434.24,45.91%,70.20%,(0.11%),(92.99%),(6.9%),19%,126,-9.45%,$2.59k,44.89%,70.80%,(0.46%),(92.85%),(6.69%),19%,174,-15.35%,$8.88k,41.00%,68.31%,(0.18%),(90.28%),(9.41%),17%,305,-4.61%,$17.16k,38.78%,69.41%,(0.28%),(85.6%),(12.54%),16%,N/A,N/A,N/A,34.83%,64.18%,(0.45%),(83.96%),(14.33%)
Skincare Tools,L3,7%,126,0.00%,$295.73,34.53%,63.95%,(4.2%),(79.66%),(16.14%),7%,175,-9.30%,$1.70k,34.57%,62.88%,(2.35%),(75.23%),(22.41%),7%,231,-31.18%,$6.59k,35.43%,61.39%,(1.68%),(77.78%),(20.5%),8%,398,-27.83%,$14.18k,39.66%,59.28%,(0.83%),(71.02%),(27.24%),13%,742,-42.20%,$20.77k,28.91%,51.30%,(0.47%),(67.87%),(30.71%)
Smart & Wearable Devices,L2,6%,103,0.00%,$388.79,44.16%,70.17%,(1.8%),(83.55%),(14.64%),6%,136,-11.91%,$2.08k,45.46%,66.10%,(1.45%),(86.33%),(12.22%),6%,182,-5.58%,$8.19k,49.14%,67.84%,(1.27%),(80.83%),(17.79%),5%,317,-9.26%,$16.19k,46.70%,62.93%,(1.43%),(77.88%),(19.97%),6%,536,-20.37%,$21.60k,46.02%,62.68%,(0.79%),(78.59%),(19.17%)
Tables & Desks,L3,22%,26,0.00%,$1.60k,65.87%,95.56%,(2.02%),(93.06%),(4.91%),18%,32,0.15%,$8.54k,51.11%,86.96%,(2.97%),(84.51%),(12.52%),19%,51,-36.88%,$29.09k,51.52%,86.18%,(4.04%),(85.6%),(10.29%),18%,116,-13.10%,$39.29k,61.46%,84.41%,(2.59%),(78.69%),(17.18%),19%,257,-26.83%,$41.97k,62.41%,82.23%,(2.88%),(76.83%),(19.59%)
Camping & Hiking Equipment,L2,4%,123,0.00%,$237.13,26.90%,57.37%,(8.81%),(73.22%),(17.96%),4%,193,-8.47%,$1.27k,25.05%,55.54%,(9.3%),(73.96%),(16.74%),5%,317,-35.80%,$4.62k,32.49%,56.76%,(7.64%),(77.36%),(14.75%),6%,579,-26.60%,$10.33k,40.81%,61.60%,(4.28%),(75.44%),(19.11%),5%,934,123.42%,$9.27k,35.94%,56.33%,(3.24%),(70.77%),(25.11%)
Powder,L3,3%,29,0.00%,$661.92,65.54%,96.11%,(16.41%),(80.38%),(3.22%),5%,45,-58.03%,$7.05k,84.04%,98.12%,(41.76%),(56.22%),(2.03%),4%,59,-26.09%,$24.64k,76.45%,97.16%,(15.37%),(77.54%),(6.99%),5%,105,-29.37%,$54.48k,81.89%,97.56%,(6.28%),(81.46%),(10.99%),4%,182,201.83%,$41.85k,77.83%,96.40%,(6.39%),(81.66%),(10.85%)
Gaming & Consoles,L2,8%,117,0.00%,$436.60,30.93%,59.46%,(32.04%),(64.27%),(3.69%),6%,169,3.67%,$1.67k,27.72%,50.29%,(15.9%),(66.91%),(17.19%),6%,285,-29.95%,$5.09k,20.55%,43.83%,(12.75%),(65.53%),(21.64%),7%,540,-35.27%,$13.03k,17.88%,44.03%,(9.48%),(65.71%),(22.74%),10%,774,-35.53%,$23.20k,27.46%,48.34%,(5.9%),(69.45%),(23.72%)
Men's Bags,L2,16%,130,0.00%,$251.27,34.45%,64.08%,(19.7%),(64.16%),(16.14%),18%,184,-21.28%,$1.48k,40.46%,66.80%,(8.59%),(74.64%),(16.77%),18%,277,-15.72%,$5.23k,40.30%,66.80%,(6.52%),(76.33%),(17.09%),19%,450,-7.76%,$11.35k,30.25%,59.76%,(9.94%),(64.35%),(25.13%),20%,837,3.39%,$12.01k,26.55%,57.57%,(12.03%),(56.91%),(30.64%)
Bathroom Supplies,L2,6%,209,0.00%,$179.45,34.17%,56.33%,(24.62%),(55.38%),(19.99%),6%,288,-6.06%,$1.01k,32.77%,54.49%,(21.4%),(60.46%),(18.14%),6%,380,-28.67%,$3.81k,29.44%,52.77%,(19.34%),(58.72%),(21.88%),7%,653,-5.34%,$6.92k,27.51%,47.63%,(13.52%),(52.19%),(33.88%),9%,1558,-11.71%,$6.18k,26.50%,46.99%,(12.28%),(52.64%),(34.54%)
Pillows & Bed Wedges,L3,14%,40,0.00%,$631.80,74.68%,94.27%,(2.21%),(94.85%),(2.94%),21%,61,-34.61%,$5.29k,80.65%,95.14%,(0.98%),(94.97%),(4.06%),19%,87,-10.81%,$16.51k,65.96%,92.40%,(1.83%),(92.4%),(5.71%),17%,170,4.17%,$28.11k,47.05%,89.13%,(1.13%),(82.91%),(14.74%),22%,N/A,N/A,$24.96k,56.59%,87.29%,(0.73%),(82.28%),(16.35%)
