Product Name,Shipped From,Product Category,Product Price,30 Days Lowest Price,Shop Name,Revenue in Yesterday,Revenue per day in Yesterday,Number of products sold in Yesterday,Number of products sold per day in Yesterday,Avg Unit Price in Yesterday,Live Revenue in Yesterday,Live Revenue per day in Yesterday,Video Revenue in Yesterday,Video Revenue per day in Yesterday,Shopping Mall Revenue in Yesterday,Shopping Mall Revenue per day in Yesterday,Revenue in Last 7 Days,Revenue per day in Last 7 Days,Number of products sold in Last 7 Days,Number of products sold per day in Last 7 Days,Avg Unit Price in Last 7 Days,Live Revenue in Last 7 Days,Live Revenue per day in Last 7 Days,Video Revenue in Last 7 Days,Video Revenue per day in Last 7 Days,Shopping Mall Revenue in Last 7 Days,Shopping Mall Revenue per day in Last 7 Days,Revenue in Last 30 Days,Revenue per day in Last 30 Days,Number of products sold in Last 30 Days,Number of products sold per day in Last 30 Days,Avg Unit Price in Last 30 Days,Live Revenue in Last 30 Days,Live Revenue per day in Last 30 Days,Video Revenue in Last 30 Days,Video Revenue per day in Last 30 Days,Shopping Mall Revenue in Last 30 Days,Shopping Mall Revenue per day in Last 30 Days,Revenue in Last 90 Days,Revenue per day in Last 90 Days,Number of products sold in Last 90 Days,Number of products sold per day in Last 90 Days,Avg Unit Price in Last 90 Days,Live Revenue in Last 90 Days,Live Revenue per day in Last 90 Days,Video Revenue in Last 90 Days,Video Revenue per day in Last 90 Days,Shopping Mall Revenue in Last 90 Days,Shopping Mall Revenue per day in Last 90 Days,Revenue in Last 180 Days,Revenue per day in Last 180 Days,Number of products sold in Last 180 Days,Number of products sold per day in Last 180 Days,Avg Unit Price in Last 180 Days,Live Revenue in Last 180 Days,Live Revenue per day in Last 180 Days,Video Revenue in Last 180 Days,Video Revenue per day in Last 180 Days,Shopping Mall Revenue in Last 180 Days,Shopping Mall Revenue per day in Last 180 Days,Earliest Date Recorded,TikTok Link,Image URLs
"BetterAlt Himalayan Shilajit Resin | Lab-tested for Purity | Ayurvedic Energy Supplement | 30g, 75 Servings",Ship From Local,Health > Food Supplement > Wellness Supplements,$34.99 - $279.99,$34.99,BetterAlt,$56.46k,$56.46k Per Day,491,491 Per Day,$114.99,$13.22k,$13.22k Per Day,$36.34k,$36.34k Per Day,$6.90k,$6.90k Per Day,$323.81k,$46.26k Per Day,2.82k,402.29 Per Day,$114.99,$98.09k,$14.01k Per Day,$186.28k,$26.61k Per Day,$39.44k,$5.63k Per Day,$1.32m,$43.85k Per Day,11.44k,381.3 Per Day,$114.99,$355.20k,$11.84k Per Day,$818.15k,$27.27k Per Day,$142.01k,$4.73k Per Day,$4.11m,$45.62k Per Day,36.27k,403 Per Day,$113.21,$1.08m,$12.02k Per Day,$2.42m,$26.93k Per Day,$600.34k,$6.67k Per Day,$10.75m,$59.74k Per Day,96.77k,537.61 Per Day,$111.12,$3.83m,$21.27k Per Day,$6.02m,$33.44k Per Day,$904.76k,$5.03k Per Day,09/21/2023,https://shop.tiktok.com/view/product/1729397463644738182?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729397463644738182,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729397463644738182,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729397463644738182,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729397463644738182,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729397463644738182,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729397463644738182,https://www.kalodata.com/product/detail/getImage?imageIndex=7&productId=1729397463644738182,https://www.kalodata.com/product/detail/getImage?imageIndex=8&productId=1729397463644738182"
NOBS Toothpaste Tablets,Ship From Local,Beauty & Personal Care > Nasal & Oral Care > Toothpastes,$14.25 - $38.00,$9.00,Better Biöm,$0.00,$0.00 Per Day,0,0 Per Day,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sungboon Editor - Deep Collagen Power Boosting Mask | THE ORIGINAL OVERNIGHT COLLAGEN MASK,Ship From Local,Beauty & Personal Care > Skincare > Face Masks,$23.99 - $25.99,$14.99,Cocomint Beauty,$44.86k,$44.86k Per Day,1.73k,1.73k Per Day,$25.99,$1.56k,$1.56k Per Day,$43.30k,$43.30k Per Day,$0.00,$0.00 Per Day,$285.14k,$40.73k Per Day,10.97k,1.57k Per Day,$25.99,$18.95k,$2.71k Per Day,$261.64k,$37.38k Per Day,$4.55k,$649.75 Per Day,$1.27m,$42.45k Per Day,49.11k,1.64k Per Day,$25.93,$138.27k,$4.61k Per Day,$1.13m,$37.69k Per Day,$4.55k,$151.61 Per Day,$4.54m,$50.45k Per Day,185.74k,2.06k Per Day,$24.44,$541.19k,$6.01k Per Day,$3.84m,$42.64k Per Day,$161.46k,$1.79k Per Day,$6.09m,$33.83k Per Day,270.44k,1.5k Per Day,$22.52,$582.85k,$3.24k Per Day,$5.34m,$29.68k Per Day,$163.38k,$907.66 Per Day,01/22/2024,https://shop.tiktok.com/view/product/1729436886547075856?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729436886547075856,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729436886547075856,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729436886547075856,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729436886547075856,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729436886547075856"
Akunbem Electric Shaver for Women Best Electric Razor for Womens Bikini Legs Underarm Public Hairs Rechargeable Trimmer with Detachable Head Cordless Wet Dry Use Precise Safe,Ship From Local,Beauty & Personal Care > Personal Care Appliances > Body Beauty Devices,$16.98,$16.98,Mighty Life,$31.23k,$31.23k Per Day,1.84k,1.84k Per Day,$16.98,$11.39k,$11.39k Per Day,$19.83k,$19.83k Per Day,$0.00,$0.00 Per Day,$462.55k,$66.08k Per Day,27.24k,3.89k Per Day,$16.98,$71.37k,$10.20k Per Day,$391.19k,$55.88k Per Day,$0.00,$0.00 Per Day,$1.27m,$42.21k Per Day,73.98k,2.47k Per Day,$17.12,$308.46k,$10.28k Per Day,$957.71k,$31.92k Per Day,$0.00,$0.00 Per Day,$4.76m,$52.84k Per Day,280.44k,3.12k Per Day,$16.96,$1.06m,$11.82k Per Day,$3.52m,$39.14k Per Day,$169.51k,$1.88k Per Day,$7.28m,$40.42k Per Day,422.96k,2.35k Per Day,$17.20,$1.42m,$7.92k Per Day,$5.68m,$31.56k Per Day,$170.10k,$945.00 Per Day,12/27/2023,https://shop.tiktok.com/view/product/1729406112281694512?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729406112281694512,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729406112281694512,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729406112281694512,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729406112281694512,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729406112281694512,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729406112281694512,https://www.kalodata.com/product/detail/getImage?imageIndex=7&productId=1729406112281694512,https://www.kalodata.com/product/detail/getImage?imageIndex=8&productId=1729406112281694512"
"Onion, Rosemary and Biotin Shampoo & Treatment Set for Stronger, Thicker and Longer Hair - Soft and Shine, Hair Growth, Growth for All Hair Types - Hair Hydrating Conditioner Haircare onion rosemary Moisturizer Cleanser",Ship From Local,Beauty & Personal Care > Hair Care & Styling > Shampoo & Conditioner,$25.00,$21.25,Natural Sant USA,$29.18k,$29.18k Per Day,1.17k,1.17k Per Day,$25.00,$19.15k,$19.15k Per Day,$10.02k,$10.02k Per Day,$0.00,$0.00 Per Day,$268.90k,$38.41k Per Day,10.76k,1.54k Per Day,$25.00,$125.55k,$17.94k Per Day,$143.35k,$20.48k Per Day,$0.00,$0.00 Per Day,$1.23m,$40.92k Per Day,49.96k,1.67k Per Day,$24.57,$653.44k,$21.78k Per Day,$574.20k,$19.14k Per Day,$0.00,$0.00 Per Day,$3.18m,$35.35k Per Day,157.19k,1.75k Per Day,$20.24,$1.71m,$19.05k Per Day,$1.46m,$16.22k Per Day,$6.42k,$71.36 Per Day,$5.13m,$28.49k Per Day,249.29k,1.38k Per Day,$20.57,$2.64m,$14.65k Per Day,$2.48m,$13.80k Per Day,$6.42k,$35.68 Per Day,11/01/2023,https://shop.tiktok.com/view/product/1729410110500540783?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729410110500540783,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729410110500540783,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729410110500540783,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729410110500540783,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729410110500540783"
"[Anua Official Shop] Ultimate Skincare Routine Set ( Cleansing oil + Facial Foam Cleanser +Toner + anuadarkspotsserum + Moisturizer), Hydrating Korean Skincare",Ship From Local,Beauty & Personal Care > Skincare > Toners,$79.00,$79.00,Anua Store US,$22.91k,$22.91k Per Day,290,290 Per Day,$79.00,$3.87k,$3.87k Per Day,$19.04k,$19.04k Per Day,$0.00,$0.00 Per Day,$261.88k,$37.41k Per Day,3.32k,473.57 Per Day,$79.00,$43.21k,$6.17k Per Day,$218.67k,$31.24k Per Day,$0.00,$0.00 Per Day,$1.14m,$38.11k Per Day,14.47k,482.47 Per Day,$79.00,$274.84k,$9.16k Per Day,$868.60k,$28.95k Per Day,$0.00,$0.00 Per Day,$2.63m,$29.23k Per Day,33.3k,369.96 Per Day,$79.00,$1.04m,$11.55k Per Day,$1.58m,$17.57k Per Day,$9.80k,$108.84 Per Day,$2.83m,$25.72k Per Day,36.35k,330.44 Per Day,$77.84,$1.15m,$10.42k Per Day,$1.67m,$15.14k Per Day,$18.06k,$164.18 Per Day,05/04/2024,https://shop.tiktok.com/view/product/1729472700694237665?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729472700694237665,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729472700694237665,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729472700694237665,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729472700694237665,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729472700694237665,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729472700694237665,https://www.kalodata.com/product/detail/getImage?imageIndex=7&productId=1729472700694237665,https://www.kalodata.com/product/detail/getImage?imageIndex=8&productId=1729472700694237665"
Birria Bombs 2 Pack by EZ Bombs Seasoning Spice Bomb Flavor,Ship From Local,"Food & Beverages > Staples & Cooking Essentials > Herbs, Spices & Seasonings",$19.98,$11.89,EZ Bombs,$17.48k,$17.48k Per Day,875,875 Per Day,$19.98,$2.88k,$2.88k Per Day,$14.61k,$14.61k Per Day,$0.00,$0.00 Per Day,$138.58k,$19.80k Per Day,6.94k,990.86 Per Day,$19.98,$32.79k,$4.68k Per Day,$105.79k,$15.11k Per Day,$0.00,$0.00 Per Day,$1.14m,$37.99k Per Day,74.51k,2.48k Per Day,$15.30,$385.32k,$12.84k Per Day,$753.26k,$25.11k Per Day,$1.07k,$35.67 Per Day,$5.04m,$56.02k Per Day,336.78k,3.74k Per Day,$14.97,$1.16m,$12.90k Per Day,$3.63m,$40.32k Per Day,$251.89k,$2.80k Per Day,$5.49m,$33.06k Per Day,372.42k,2.24k Per Day,$14.74,$1.24m,$7.46k Per Day,$3.96m,$23.88k Per Day,$285.93k,$1.72k Per Day,03/12/2024,https://shop.tiktok.com/view/product/1729444047203963674?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729444047203963674,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729444047203963674,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729444047203963674,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729444047203963674,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729444047203963674"
Prime Bites Variety Pack - Protein Brownie with 19g Protein and 5g Collagen,Ship From Local,Food & Beverages > Fresh & Frozen Food > Pastries,$32.07,$20.99,Prime Bites Protein Brownies,$16.61k,$16.61k Per Day,518,518 Per Day,$32.07,$2.21k,$2.21k Per Day,$14.05k,$14.05k Per Day,$352.77,$352.77 Per Day,$320.31k,$45.76k Per Day,10.78k,1.54k Per Day,$29.72,$31.14k,$4.45k Per Day,$252.37k,$36.05k Per Day,$36.80k,$5.26k Per Day,$1.13m,$37.67k Per Day,39.17k,1.31k Per Day,$28.86,$180.21k,$6.01k Per Day,$833.50k,$27.78k Per Day,$116.46k,$3.88k Per Day,$2.86m,$31.73k Per Day,108.8k,1.21k Per Day,$26.24,$398.29k,$4.43k Per Day,$2.00m,$22.18k Per Day,$460.51k,$5.12k Per Day,$6.64m,$36.88k Per Day,236.83k,1.32k Per Day,$28.03,$1.03m,$5.75k Per Day,$4.97m,$27.63k Per Day,$630.38k,$3.50k Per Day,12/30/2023,https://shop.tiktok.com/view/product/1729422228922143703?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729422228922143703,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729422228922143703,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729422228922143703,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729422228922143703,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729422228922143703,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729422228922143703,https://www.kalodata.com/product/detail/getImage?imageIndex=7&productId=1729422228922143703"
"Schenley 7-in-1 Steam Mop with Detachable Handheld Steamer for Walls, Grouts, Hard Floors, Tiles, Great for Greasy & Sticky Messes with Multi-purpose Accessories and Washable Microfiber Pads Cleaning Household Kitchen Lightweight",Ship From Local,Household Appliances > Home Appliances > Electric Mops,$99.99,$74.98,Dawn and Dusk,$25.00k,$25.00k Per Day,250,250 Per Day,$99.99,$2.00k,$2.00k Per Day,$23.00k,$23.00k Per Day,$0.00,$0.00 Per Day,$200.18k,$28.60k Per Day,2k,286 Per Day,$99.99,$27.10k,$3.87k Per Day,$173.08k,$24.73k Per Day,$0.00,$0.00 Per Day,$1.13m,$37.56k Per Day,12.2k,406.73 Per Day,$92.35,$193.45k,$6.45k Per Day,$933.45k,$31.12k Per Day,$0.00,$0.00 Per Day,$2.74m,$30.48k Per Day,30.31k,336.72 Per Day,$90.51,$840.35k,$9.34k Per Day,$1.86m,$20.66k Per Day,$43.51k,$483.43 Per Day,$4.42m,$24.55k Per Day,50.25k,279.14 Per Day,$87.96,$1.05m,$5.82k Per Day,$3.30m,$18.33k Per Day,$74.43k,$413.52 Per Day,10/28/2023,https://shop.tiktok.com/view/product/1729403466481308478?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729403466481308478,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729403466481308478,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729403466481308478,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729403466481308478,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729403466481308478,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729403466481308478,https://www.kalodata.com/product/detail/getImage?imageIndex=7&productId=1729403466481308478"
MaryRuth's Liquid Multivitamin + Hair Growth With Clinically Tested Lustriva for Thicker Hair - Improves Wrinkles & Fine Lines - Skin Health - Biotin 10000mcg - Vitamin D - B Vitamins - Vegan - Clean Label Project Certified - 30 Fl Oz,Ship From Local,Health > Food Supplement > Wellness Supplements,$74.95,$51.97,MaryRuth's,$40.40k,$40.40k Per Day,539,539 Per Day,$74.95,$12.74k,$12.74k Per Day,$27.66k,$27.66k Per Day,$0.00,$0.00 Per Day,$287.58k,$41.08k Per Day,3.84k,548.14 Per Day,$74.95,$113.77k,$16.25k Per Day,$173.81k,$24.83k Per Day,$0.00,$0.00 Per Day,$1.10m,$36.73k Per Day,16.81k,560.47 Per Day,$65.54,$661.26k,$22.04k Per Day,$440.69k,$14.69k Per Day,$0.00,$0.00 Per Day,$3.30m,$36.70k Per Day,55.34k,614.93 Per Day,$59.69,$2.13m,$23.63k Per Day,$1.18m,$13.07k Per Day,$0.00,$0.00 Per Day,$5.54m,$30.78k Per Day,93.61k,520.07 Per Day,$59.19,$3.47m,$19.30k Per Day,$2.04m,$11.31k Per Day,$31.05k,$172.52 Per Day,11/03/2023,https://shop.tiktok.com/view/product/1729408850245948366?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729408850245948366,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729408850245948366,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729408850245948366,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729408850245948366,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729408850245948366,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729408850245948366,https://www.kalodata.com/product/detail/getImage?imageIndex=7&productId=1729408850245948366,https://www.kalodata.com/product/detail/getImage?imageIndex=8&productId=1729408850245948366,https://www.kalodata.com/product/detail/getImage?imageIndex=9&productId=1729408850245948366"
[Medicube Official Shop Exclusive] 310M Celebrity Glass Skin Duo | AGE-R Booster Pro & Collagen Jelly Cream OR Deep Vita C Capsule Cream,Ship From Local,Beauty & Personal Care > Skincare,$240.00 - $263.00,$240.00,Medicube US,$41.18k,$41.18k Per Day,159,159 Per Day,$259.00,$27.20k,$27.20k Per Day,$13.99k,$13.99k Per Day,$0.00,$0.00 Per Day,$177.42k,$25.34k Per Day,685,97.86 Per Day,$259.00,$109.56k,$15.65k Per Day,$67.86k,$9.69k Per Day,$0.00,$0.00 Per Day,$1.08m,$36.15k Per Day,3.48k,115.93 Per Day,$311.79,$668.32k,$22.28k Per Day,$395.16k,$13.17k Per Day,$20.94k,$698.07 Per Day,$1.30m,$14.48k Per Day,4.18k,46.41 Per Day,$311.93,$806.08k,$8.96k Per Day,$475.27k,$5.28k Per Day,$21.57k,$239.67 Per Day,$1.31m,$12.64k Per Day,4.22k,40.53 Per Day,$311.81,$807.86k,$7.77k Per Day,$476.18k,$4.58k Per Day,$30.24k,$290.73 Per Day,05/15/2024,https://shop.tiktok.com/view/product/1729472361177518315?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729472361177518315,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729472361177518315,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729472361177518315,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729472361177518315,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729472361177518315,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729472361177518315,https://www.kalodata.com/product/detail/getImage?imageIndex=7&productId=1729472361177518315,https://www.kalodata.com/product/detail/getImage?imageIndex=8&productId=1729472361177518315,https://www.kalodata.com/product/detail/getImage?imageIndex=9&productId=1729472361177518315"
"MaryRuth's Liquid Morning Multivitamin + Hair Growth - 15.22 oz - Supports Hair Growth, Thicker Hair, Improves Wrinkles, Skin Care - Beauty Dietary Supplement Edible",Ship From Local,Health > Food Supplement > Wellness Supplements,$31.46,$29.22,MaryRuth's,$34.51k,$34.51k Per Day,1.1k,1.1k Per Day,$31.46,$6.32k,$6.32k Per Day,$28.19k,$28.19k Per Day,$0.00,$0.00 Per Day,$277.15k,$39.59k Per Day,8.81k,1.26k Per Day,$31.46,$82.75k,$11.82k Per Day,$194.40k,$27.77k Per Day,$0.00,$0.00 Per Day,$1.05m,$35.10k Per Day,33.45k,1.12k Per Day,$31.47,$556.11k,$18.54k Per Day,$496.76k,$16.56k Per Day,$0.00,$0.00 Per Day,$2.39m,$26.59k Per Day,75.82k,842.44 Per Day,$31.56,$1.61m,$17.91k Per Day,$778.17k,$8.65k Per Day,$2.64k,$29.37 Per Day,$3.10m,$17.39k Per Day,94.63k,531.61 Per Day,$32.71,$2.17m,$12.18k Per Day,$888.27k,$4.99k Per Day,$38.65k,$217.14 Per Day,03/02/2024,https://shop.tiktok.com/view/product/1729444839009194958?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729444839009194958,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729444839009194958,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729444839009194958,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729444839009194958,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729444839009194958,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729444839009194958,https://www.kalodata.com/product/detail/getImage?imageIndex=7&productId=1729444839009194958,https://www.kalodata.com/product/detail/getImage?imageIndex=8&productId=1729444839009194958,https://www.kalodata.com/product/detail/getImage?imageIndex=9&productId=1729444839009194958"
TYMO ROVY-Wave Curling Iron for Easy Comfort Styling hairwaver,Ship From Local,Beauty & Personal Care > Personal Care Appliances > Curlers & Straighteners,$39.99,$29.99,TYMO-BEAUTY,$53.87k,$53.87k Per Day,1.35k,1.35k Per Day,$39.99,$2.48k,$2.48k Per Day,$51.39k,$51.39k Per Day,$0.00,$0.00 Per Day,$199.65k,$28.52k Per Day,5.35k,763.71 Per Day,$37.35,$32.55k,$4.65k Per Day,$167.10k,$23.87k Per Day,$0.00,$0.00 Per Day,$1.03m,$34.22k Per Day,26.52k,884.1 Per Day,$38.71,$262.44k,$8.75k Per Day,$764.19k,$25.47k Per Day,$0.00,$0.00 Per Day,$1.88m,$20.83k Per Day,53.37k,593.01 Per Day,$35.13,$417.38k,$4.64k Per Day,$1.45m,$16.14k Per Day,$5.16k,$57.32 Per Day,$2.35m,$13.05k Per Day,68.46k,380.36 Per Day,$34.30,$452.15k,$2.51k Per Day,$1.89m,$10.51k Per Day,$5.16k,$28.66 Per Day,08/10/2023,https://shop.tiktok.com/view/product/1729385637241786846?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729385637241786846,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729385637241786846,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729385637241786846,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729385637241786846,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729385637241786846,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729385637241786846,https://www.kalodata.com/product/detail/getImage?imageIndex=7&productId=1729385637241786846,https://www.kalodata.com/product/detail/getImage?imageIndex=8&productId=1729385637241786846"
Wavytalk Negative Ion Single Thermal brush 1.5 Inch【Back to School Gift】,Ship From Local,Beauty & Personal Care > Personal Care Appliances > Curlers & Straighteners,$29.99,$29.99,wavytalk,$38.03k,$38.03k Per Day,1.27k,1.27k Per Day,$29.99,$4.71k,$4.71k Per Day,$33.32k,$33.32k Per Day,$0.00,$0.00 Per Day,$264.03k,$37.72k Per Day,8.8k,1.26k Per Day,$29.99,$38.57k,$5.51k Per Day,$225.04k,$32.15k Per Day,$419.86,$59.98 Per Day,$993.84k,$33.13k Per Day,32.27k,1.08k Per Day,$30.80,$271.02k,$9.03k Per Day,$718.18k,$23.94k Per Day,$4.65k,$154.95 Per Day,$3.21m,$35.72k Per Day,110.13k,1.22k Per Day,$29.19,$509.73k,$5.66k Per Day,$2.51m,$27.94k Per Day,$190.51k,$2.12k Per Day,$6.33m,$35.15k Per Day,221.23k,1.23k Per Day,$28.60,$721.18k,$4.01k Per Day,$5.41m,$30.08k Per Day,$190.59k,$1.06k Per Day,10/09/2023,https://shop.tiktok.com/view/product/1729403338518794392?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729403338518794392,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729403338518794392,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729403338518794392,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729403338518794392,https://www.kalodata.com/product/detail/getImage?imageIndex=5&productId=1729403338518794392,https://www.kalodata.com/product/detail/getImage?imageIndex=6&productId=1729403338518794392,https://www.kalodata.com/product/detail/getImage?imageIndex=7&productId=1729403338518794392,https://www.kalodata.com/product/detail/getImage?imageIndex=8&productId=1729403338518794392,https://www.kalodata.com/product/detail/getImage?imageIndex=9&productId=1729403338518794392"
"Kiala Nutrition Super Greens Powder - Digestive Health for Women, Bloating Relief, Gut Health, Skin Care, with Spirulina (Watermelon Slush), Dietary Supplement",Ship From Local,Health > Food Supplement > Beauty Supplements,$34.95,$34.95,Kiala Nutrition,$20.13k,$20.13k Per Day,576,576 Per Day,$34.95,$1.82k,$1.82k Per Day,$18.31k,$18.31k Per Day,$0.00,$0.00 Per Day,$140.64k,$20.09k Per Day,4.02k,574.86 Per Day,$34.95,$19.61k,$2.80k Per Day,$120.93k,$17.28k Per Day,$104.85,$14.98 Per Day,$993.52k,$33.12k Per Day,28.43k,947.57 Per Day,$34.95,$150.88k,$5.03k Per Day,$818.95k,$27.30k Per Day,$23.70k,$789.87 Per Day,$2.45m,$27.27k Per Day,83.25k,924.96 Per Day,$29.49,$350.86k,$3.90k Per Day,$1.99m,$22.14k Per Day,$110.79k,$1.23k Per Day,$4.85m,$26.96k Per Day,176.63k,981.25 Per Day,$27.47,$739.22k,$4.11k Per Day,$3.94m,$21.89k Per Day,$173.55k,$964.14 Per Day,12/04/2023,https://shop.tiktok.com/view/product/1729416349624144239?region=US&locale=en-US,"https://www.kalodata.com/product/detail/getImage?imageIndex=1&productId=1729416349624144239,https://www.kalodata.com/product/detail/getImage?imageIndex=2&productId=1729416349624144239,https://www.kalodata.com/product/detail/getImage?imageIndex=3&productId=1729416349624144239,https://www.kalodata.com/product/detail/getImage?imageIndex=4&productId=1729416349624144239"
