shop_name,shop_type,shop_earliest_date_recorded,shop_soa_revenue_Yesterday,shop_soa_revenue_per_day_Yesterday,shop_affiliate_revenue_Yesterday,shop_affiliate_revenue_per_day_Yesterday,shop_soa_revenue_share_Yesterday,shop_aff_revenue_share_Yesterday,shop_mall_revenue_share_Yesterday,shop_soa_revenue_Last 7 Days,shop_soa_revenue_per_day_Last 7 Days,shop_affiliate_revenue_Last 7 Days,shop_affiliate_revenue_per_day_Last 7 Days,shop_soa_revenue_share_Last 7 Days,shop_aff_revenue_share_Last 7 Days,shop_mall_revenue_share_Last 7 Days,shop_soa_revenue_Last 30 Days,shop_soa_revenue_per_day_Last 30 Days,shop_affiliate_revenue_Last 30 Days,shop_affiliate_revenue_per_day_Last 30 Days,shop_soa_revenue_share_Last 30 Days,shop_aff_revenue_share_Last 30 Days,shop_mall_revenue_share_Last 30 Days,shop_soa_revenue_Last 90 Days,shop_soa_revenue_per_day_Last 90 Days,shop_affiliate_revenue_Last 90 Days,shop_affiliate_revenue_per_day_Last 90 Days,shop_soa_revenue_share_Last 90 Days,shop_aff_revenue_share_Last 90 Days,shop_mall_revenue_share_Last 90 Days,shop_soa_revenue_Last 180 Days,shop_soa_revenue_per_day_Last 180 Days,shop_affiliate_revenue_Last 180 Days,shop_affiliate_revenue_per_day_Last 180 Days,shop_soa_revenue_share_Last 180 Days,shop_aff_revenue_share_Last 180 Days,shop_mall_revenue_share_Last 180 Days
R & W Co.,RETAILER,01/02/2024,$11.98k,$0.00 Per Day,$10.16k,$10.16k Per Day,(0%),(84.82%),(15.18%),$99.25k,$0.00 Per Day,$93.48k,$13.35k Per Day,(0%),(94.19%),(5.81%),$370.97k,$0.00 Per Day,$312.86k,$10.43k Per Day,(0%),(84.34%),(15.66%),$756.52k,$0.00 Per Day,$588.83k,$6.54k Per Day,(0%),(77.83%),(22.17%),$997.59k,$0.00 Per Day,$769.73k,$4.28k Per Day,(0%),(77.16%),(22.84%)
Soundcore.US,BRAND,10/12/2023,$5.03k,$0.00 Per Day,$4.58k,$4.58k Per Day,(0%),(90.92%),(9.08%),$48.80k,$10.00 Per Day,$46.97k,$6.71k Per Day,(0.14%),(96.25%),(3.6%),$348.31k,$62.29 Per Day,$332.32k,$11.08k Per Day,(0.54%),(95.41%),(4.05%),$1.91m,$156.64 Per Day,$1.60m,$17.73k Per Day,(0.74%),(83.38%),(15.89%),$2.85m,$176.19 Per Day,$2.32m,$12.87k Per Day,(1.11%),(81.32%),(17.56%)
Wequeenhair,RETAILER,02/03/2024,$9.49k,$0.00 Per Day,$9.49k,$9.49k Per Day,(0%),(100%),(0%),$61.08k,$0.00 Per Day,$60.97k,$8.71k Per Day,(0%),(99.81%),(0.19%),$357.69k,$36.56 Per Day,$347.90k,$11.60k Per Day,(0.31%),(97.26%),(2.43%),$830.31k,$17.35 Per Day,$792.79k,$8.81k Per Day,(0.19%),(95.48%),(4.33%),$910.32k,$8.67 Per Day,$865.82k,$4.81k Per Day,(0.17%),(95.11%),(4.72%)
Popilush LLC,BRAND,07/29/2023,$12.49k,$2.79k Per Day,$7.35k,$7.35k Per Day,(22.34%),(58.88%),(18.78%),$87.61k,$4.15k Per Day,$49.32k,$7.05k Per Day,(33.18%),(56.3%),(10.52%),$365.22k,$1.44k Per Day,$291.62k,$9.72k Per Day,(11.87%),(79.85%),(8.28%),$1.33m,$735.06 Per Day,$1.09m,$12.08k Per Day,(4.99%),(81.96%),(13.05%),$3.20m,$508.30 Per Day,$2.44m,$13.56k Per Day,(2.86%),(76.26%),(20.88%)
FINE TOO,BRAND,08/06/2023,$14.47k,$0.00 Per Day,$13.80k,$13.80k Per Day,(0%),(95.4%),(4.6%),$100.21k,$0.00 Per Day,$96.21k,$13.74k Per Day,(0%),(96.01%),(3.99%),$368.57k,$0.00 Per Day,$363.38k,$12.11k Per Day,(0%),(98.59%),(1.41%),$772.27k,$0.00 Per Day,$643.07k,$7.15k Per Day,(0%),(83.27%),(16.73%),$889.36k,$0.00 Per Day,$710.19k,$3.95k Per Day,(0%),(79.85%),(20.15%)
PRUNUS-Tech,RETAILER,12/21/2023,$3.26k,$0.00 Per Day,$2.97k,$2.97k Per Day,(0%),(91.18%),(8.82%),$48.12k,$1.43 Per Day,$40.28k,$5.75k Per Day,(0.02%),(83.72%),(16.26%),$364.45k,$0.33 Per Day,$291.35k,$9.71k Per Day,(0%),(79.94%),(20.05%),$683.46k,$0.11 Per Day,$545.03k,$6.06k Per Day,(0%),(79.75%),(20.25%),$1.08m,$1.18 Per Day,$918.81k,$5.10k Per Day,(0.02%),(85.47%),(14.51%)
CharmBag,RETAILER,08/31/2023,$7.42k,$0.00 Per Day,$5.99k,$5.99k Per Day,(0%),(80.79%),(19.21%),$55.64k,$0.00 Per Day,$45.15k,$6.45k Per Day,(0%),(81.14%),(18.86%),$352.26k,$0.00 Per Day,$274.64k,$9.15k Per Day,(0%),(77.97%),(22.03%),$1.09m,$0.00 Per Day,$756.50k,$8.41k Per Day,(0%),(69.36%),(30.64%),$2.39m,$0.00 Per Day,$1.80m,$9.98k Per Day,(0%),(75.12%),(24.88%)
VitalityVital,RETAILER,04/17/2024,$18.71k,$0.00 Per Day,$18.70k,$18.70k Per Day,(0%),(99.92%),(0.08%),$119.17k,$0.00 Per Day,$118.87k,$16.98k Per Day,(0%),(99.75%),(0.25%),$378.49k,$0.00 Per Day,$377.77k,$12.59k Per Day,(0%),(99.81%),(0.19%),$412.37k,$0.00 Per Day,$411.35k,$4.57k Per Day,(0%),(99.75%),(0.25%),$453.99k,$0.00 Per Day,$452.27k,$3.18k Per Day,(0%),(99.62%),(0.38%)
Docreate Electronic,RETAILER,05/18/2024,$11.44k,$0.00 Per Day,$11.39k,$11.39k Per Day,(0%),(99.63%),(0.37%),$50.81k,$0.00 Per Day,$50.64k,$7.23k Per Day,(0%),(99.67%),(0.33%),$324.95k,$0.00 Per Day,$323.29k,$10.78k Per Day,(0%),(99.49%),(0.51%),$1.59m,$0.00 Per Day,$1.55m,$17.19k Per Day,(0%),(97.4%),(2.6%),$1.63m,$0.00 Per Day,$1.58m,$14.20k Per Day,(0%),(96.91%),(3.09%)
Javy Coffee,BRAND,08/19/2023,$8.22k,$0.00 Per Day,$7.87k,$7.87k Per Day,(0%),(95.8%),(4.2%),$69.19k,$0.00 Per Day,$67.12k,$9.59k Per Day,(0%),(97.01%),(2.99%),$353.56k,$0.00 Per Day,$345.52k,$11.52k Per Day,(0%),(97.73%),(2.27%),$2.65m,$0.00 Per Day,$2.51m,$27.89k Per Day,(0%),(94.87%),(5.13%),$3.88m,$0.00 Per Day,$3.69m,$20.51k Per Day,(0%),(95.17%),(4.83%)
BurtonBreaks,RETAILER,07/25/2023,$8.31k,$8.31k Per Day,$0.00,$0.00 Per Day,(100%),(0%),(0%),$230.69k,$13.47k Per Day,$6.67k,$953.55 Per Day,(40.86%),(2.89%),(56.25%),$367.19k,$7.20k Per Day,$6.67k,$222.50 Per Day,(58.82%),(1.82%),(39.37%),$810.23k,$6.24k Per Day,$8.91k,$99.01 Per Day,(69.29%),(1.1%),(29.61%),$2.08m,$8.75k Per Day,$9.82k,$54.55 Per Day,(75.91%),(0.47%),(23.62%)
Swansoul Store,RETAILER,07/25/2023,$8.88k,$531.83 Per Day,$8.35k,$8.35k Per Day,(5.99%),(94.01%),(0%),$106.78k,$170.07 Per Day,$105.46k,$15.07k Per Day,(1.11%),(98.77%),(0.12%),$359.50k,$209.24 Per Day,$352.55k,$11.75k Per Day,(1.75%),(98.07%),(0.19%),$832.30k,$87.07 Per Day,$743.95k,$8.27k Per Day,(0.94%),(89.38%),(9.67%),$1.84m,$43.53 Per Day,$1.51m,$8.37k Per Day,(0.43%),(81.8%),(17.77%)
DODOGOGO,RETAILER,06/17/2024,$11.11k,$10.62k Per Day,$0.00,$0.00 Per Day,(95.58%),(0%),(4.42%),$73.36k,$9.22k Per Day,$0.00,$0.00 Per Day,(87.95%),(0%),(12.05%),$357.61k,$11.53k Per Day,$118.49,$3.95 Per Day,(96.69%),(0.03%),(3.28%),$791.54k,$6.58k Per Day,$4.05k,$50.04 Per Day,(67.29%),(0.51%),(32.19%),$791.54k,$6.58k Per Day,$4.05k,$50.04 Per Day,(67.29%),(0.51%),(32.19%)
Laresar Store,BRAND,07/21/2023,$6.07k,$0.00 Per Day,$5.19k,$5.19k Per Day,(0%),(85.56%),(14.44%),$68.11k,$0.00 Per Day,$49.14k,$7.02k Per Day,(0%),(72.16%),(27.84%),$354.33k,$616.10 Per Day,$258.02k,$8.60k Per Day,(5.22%),(72.82%),(21.97%),$614.56k,$299.42 Per Day,$435.76k,$4.84k Per Day,(4.38%),(70.91%),(24.71%),$939.83k,$158.96 Per Day,$566.17k,$3.15k Per Day,(3.04%),(60.24%),(36.71%)
Neuro Gum,BRAND,10/20/2023,$55.06k,$185.94 Per Day,$48.44k,$48.44k Per Day,(0.34%),(87.98%),(11.69%),$118.02k,$26.56 Per Day,$105.71k,$15.10k Per Day,(0.16%),(89.57%),(10.28%),$392.24k,$11.07 Per Day,$364.07k,$12.14k Per Day,(0.08%),(92.82%),(7.1%),$1.28m,$62.91 Per Day,$1.17m,$13.02k Per Day,(0.44%),(91.88%),(7.67%),$1.29m,$31.45 Per Day,$1.18m,$6.57k Per Day,(0.44%),(91.53%),(8.03%)
YYClothing,RETAILER,11/08/2023,$2.56k,$0.00 Per Day,$2.53k,$2.53k Per Day,(0%),(98.76%),(1.24%),$21.50k,$0.00 Per Day,$20.87k,$2.98k Per Day,(0%),(97.06%),(2.94%),$323.56k,$0.00 Per Day,$315.84k,$10.53k Per Day,(0%),(97.62%),(2.38%),$1.32m,$0.00 Per Day,$1.14m,$12.72k Per Day,(0%),(86.82%),(13.18%),$1.38m,$0.00 Per Day,$1.15m,$6.38k Per Day,(0%),(83.37%),(16.63%)
terez & honor,BRAND,10/22/2023,$11.29k,$148.92 Per Day,$10.22k,$10.22k Per Day,(1.32%),(90.49%),(8.19%),$57.66k,$139.37 Per Day,$55.12k,$7.87k Per Day,(1.69%),(95.59%),(2.72%),$348.94k,$138.88 Per Day,$318.38k,$10.61k Per Day,(1.19%),(91.24%),(7.56%),$1.21m,$58.93 Per Day,$1.03m,$11.42k Per Day,(0.44%),(84.99%),(14.57%),$2.90m,$29.60 Per Day,$2.71m,$15.07k Per Day,(0.18%),(93.45%),(6.37%)
AnkerUS,BRAND,08/26/2023,$11.06k,$3.96k Per Day,$7.10k,$7.10k Per Day,(35.84%),(64.16%),(0%),$81.36k,$2.79k Per Day,$60.90k,$8.70k Per Day,(24.03%),(74.86%),(1.11%),$346.62k,$2.68k Per Day,$263.12k,$8.77k Per Day,(23.22%),(75.91%),(0.87%),$3.26m,$6.00k Per Day,$2.42m,$26.84k Per Day,(16.54%),(74.03%),(9.43%),$5.47m,$4.62k Per Day,$4.25m,$23.59k Per Day,(15.22%),(77.65%),(7.13%)
Dovety,RETAILER,12/27/2023,$11.23k,$219.78 Per Day,$11.01k,$11.01k Per Day,(1.96%),(98.04%),(0%),$90.94k,$96.81 Per Day,$90.26k,$12.89k Per Day,(0.75%),(99.25%),(0%),$354.93k,$135.93 Per Day,$350.45k,$11.68k Per Day,(1.15%),(98.74%),(0.11%),$1.18m,$45.78 Per Day,$1.13m,$12.52k Per Day,(0.35%),(95.52%),(4.13%),$2.37m,$22.89 Per Day,$2.28m,$12.67k Per Day,(0.17%),(96.13%),(3.7%)
Smartsaker,RETAILER,01/13/2024,$6.30k,$0.00 Per Day,$6.24k,$6.24k Per Day,(0%),(99.1%),(0.9%),$65.86k,$0.00 Per Day,$65.47k,$9.35k Per Day,(0%),(99.39%),(0.61%),$342.99k,$0.00 Per Day,$340.63k,$11.35k Per Day,(0%),(99.31%),(0.69%),$829.47k,$0.00 Per Day,$761.42k,$8.46k Per Day,(0%),(91.8%),(8.2%),$1.03m,$0.00 Per Day,$928.22k,$5.16k Per Day,(0%),(90.01%),(9.99%)
Stealth Supply,BRAND,08/24/2023,$4.78k,$3.85k Per Day,$927.57,$927.57 Per Day,(80.61%),(19.4%),(0%),$40.26k,$3.82k Per Day,$13.42k,$1.92k Per Day,(66.41%),(33.32%),(0.26%),$338.92k,$5.47k Per Day,$160.31k,$5.34k Per Day,(48.39%),(47.3%),(4.31%),$1.11m,$6.89k Per Day,$410.08k,$4.56k Per Day,(55.91%),(36.95%),(7.14%),$2.10m,$5.57k Per Day,$733.60k,$4.08k Per Day,(47.67%),(34.85%),(17.47%)
Wiggins Hair Store,BRAND,10/04/2023,$10.90k,$812.55 Per Day,$7.80k,$7.80k Per Day,(7.45%),(71.56%),(20.98%),$68.56k,$771.69 Per Day,$51.38k,$7.34k Per Day,(7.88%),(74.93%),(17.19%),$346.19k,$1.19k Per Day,$263.73k,$8.79k Per Day,(10.28%),(76.18%),(13.54%),$1.34m,$859.78 Per Day,$1.04m,$11.56k Per Day,(5.78%),(77.7%),(16.52%),$2.16m,$429.89 Per Day,$1.60m,$8.90k Per Day,(3.58%),(74.06%),(22.36%)
Alabaster Co,RETAILER,11/07/2023,$13.31k,$0.00 Per Day,$13.28k,$13.28k Per Day,(0%),(99.73%),(0.27%),$95.04k,$0.00 Per Day,$94.22k,$13.46k Per Day,(0%),(99.14%),(0.86%),$340.48k,$0.00 Per Day,$336.03k,$11.20k Per Day,(0%),(98.69%),(1.31%),$1.26m,$0.00 Per Day,$1.21m,$13.44k Per Day,(0%),(96.31%),(3.69%),$2.90m,$0.00 Per Day,$2.81m,$15.61k Per Day,(0%),(96.8%),(3.2%)
BUNNY LULU,RETAILER,06/21/2024,$11.95k,$288.66 Per Day,$11.67k,$11.67k Per Day,(2.41%),(97.59%),(0%),$145.06k,$760.11 Per Day,$139.74k,$19.96k Per Day,(3.67%),(96.33%),(0%),$354.90k,$375.43 Per Day,$343.59k,$11.45k Per Day,(3.17%),(96.81%),(0.01%),$409.29k,$163.91 Per Day,$395.35k,$5.13k Per Day,(3.08%),(96.59%),(0.32%),$409.29k,$163.91 Per Day,$395.35k,$5.13k Per Day,(3.08%),(96.59%),(0.32%)
YKSaix,RETAILER,10/25/2023,$11.98k,$0.00 Per Day,$11.79k,$11.79k Per Day,(0%),(98.34%),(1.66%),$77.08k,$0.00 Per Day,$75.24k,$10.75k Per Day,(0%),(97.61%),(2.39%),$338.93k,$0.00 Per Day,$328.64k,$10.95k Per Day,(0%),(96.97%),(3.03%),$813.59k,$0.00 Per Day,$773.39k,$8.59k Per Day,(0%),(95.06%),(4.94%),$1.69m,$0.00 Per Day,$1.63m,$9.06k Per Day,(0%),(96.76%),(3.24%)
The Lost Skills,BRAND,02/29/2024,$16.67k,$1.31k Per Day,$15.35k,$15.35k Per Day,(7.87%),(92.13%),(0%),$106.10k,$962.16 Per Day,$99.36k,$14.19k Per Day,(6.35%),(93.65%),(0%),$344.16k,$786.75 Per Day,$318.51k,$10.62k Per Day,(6.86%),(92.55%),(0.6%),$2.00m,$1.50k Per Day,$1.75m,$19.48k Per Day,(6.76%),(87.86%),(5.38%),$6.16m,$1.10k Per Day,$5.71m,$31.74k Per Day,(3.2%),(92.78%),(4.02%)
Alexander Jane,BRAND,07/21/2023,$6.31k,$3.11k Per Day,$3.04k,$3.04k Per Day,(49.27%),(48.21%),(2.52%),$42.48k,$1.66k Per Day,$26.48k,$3.78k Per Day,(27.42%),(62.33%),(10.25%),$327.29k,$4.40k Per Day,$169.16k,$5.64k Per Day,(40.36%),(51.69%),(7.96%),$1.03m,$4.94k Per Day,$466.46k,$5.18k Per Day,(43.17%),(45.27%),(11.56%),$2.39m,$5.94k Per Day,$877.00k,$4.87k Per Day,(44.68%),(36.66%),(18.66%)
Yappy Bracelets,RETAILER,01/13/2024,$31.09k,$0.00 Per Day,$31.09k,$31.09k Per Day,(0%),(100%),(0%),$76.33k,$0.00 Per Day,$76.20k,$10.89k Per Day,(0%),(99.83%),(0.17%),$355.57k,$0.00 Per Day,$352.62k,$11.75k Per Day,(0%),(99.17%),(0.83%),$941.98k,$0.00 Per Day,$906.73k,$10.07k Per Day,(0%),(96.26%),(3.74%),$1.12m,$0.00 Per Day,$1.07m,$5.95k Per Day,(0%),(95.36%),(4.64%)
QINGLIN.US,RETAILER,02/19/2024,$5.76k,$0.00 Per Day,$4.02k,$4.02k Per Day,(0%),(69.8%),(30.2%),$68.19k,$0.00 Per Day,$21.28k,$3.04k Per Day,(0%),(31.21%),(68.79%),$338.29k,$0.00 Per Day,$82.26k,$2.74k Per Day,(0%),(24.32%),(75.68%),$634.25k,$0.00 Per Day,$101.74k,$1.13k Per Day,(0%),(16.04%),(83.96%),$758.46k,$0.00 Per Day,$106.38k,$591.01 Per Day,(0%),(14.03%),(85.97%)
Novelty Digital,BRAND,02/29/2024,$7.20k,$0.00 Per Day,$7.15k,$7.15k Per Day,(0%),(99.26%),(0.74%),$47.36k,$0.00 Per Day,$47.14k,$6.73k Per Day,(0%),(99.55%),(0.45%),$326.75k,$0.00 Per Day,$324.45k,$10.82k Per Day,(0%),(99.3%),(0.7%),$1.90m,$0.00 Per Day,$1.78m,$19.81k Per Day,(0%),(94.04%),(5.96%),$3.04m,$0.00 Per Day,$2.75m,$15.26k Per Day,(0%),(90.33%),(9.67%)
VIPfree Home,RETAILER,06/21/2024,$6.66k,$34.50 Per Day,$6.62k,$6.62k Per Day,(0.52%),(99.48%),(0%),$103.57k,$14.14 Per Day,$103.47k,$14.78k Per Day,(0.1%),(99.9%),(0%),$337.09k,$36.77 Per Day,$335.21k,$11.17k Per Day,(0.33%),(99.44%),(0.23%),$476.05k,$34.25 Per Day,$471.92k,$6.21k Per Day,(0.55%),(99.13%),(0.32%),$476.05k,$34.25 Per Day,$471.92k,$6.21k Per Day,(0.55%),(99.13%),(0.32%)
ZIBUYU,RETAILER,08/25/2023,$9.15k,$0.00 Per Day,$8.81k,$8.81k Per Day,(0%),(96.29%),(3.71%),$66.22k,$0.00 Per Day,$63.56k,$9.08k Per Day,(0%),(95.98%),(4.02%),$324.33k,$0.00 Per Day,$310.58k,$10.35k Per Day,(0%),(95.76%),(4.24%),$1.30m,$0.00 Per Day,$1.18m,$13.17k Per Day,(0%),(91.29%),(8.71%),$1.90m,$0.00 Per Day,$1.61m,$8.96k Per Day,(0%),(84.9%),(15.1%)
AVAPOW,BRAND,10/26/2023,$7.94k,$3.21k Per Day,$4.72k,$4.72k Per Day,(40.5%),(59.5%),(0%),$124.21k,$4.40k Per Day,$89.58k,$12.80k Per Day,(24.78%),(72.12%),(3.1%),$335.90k,$2.22k Per Day,$258.44k,$8.61k Per Day,(19.8%),(76.94%),(3.26%),$1.03m,$1.70k Per Day,$771.61k,$8.57k Per Day,(14.79%),(74.66%),(10.55%),$2.53m,$891.95 Per Day,$2.11m,$11.72k Per Day,(6.35%),(83.44%),(10.21%)
lovful store,BRAND,08/18/2023,$10.70k,$3.59k Per Day,$7.11k,$7.11k Per Day,(33.55%),(66.45%),(0%),$55.38k,$2.41k Per Day,$38.14k,$5.45k Per Day,(30.49%),(68.88%),(0.63%),$329.73k,$3.38k Per Day,$226.34k,$7.54k Per Day,(30.76%),(68.65%),(0.6%),$856.79k,$3.38k Per Day,$535.71k,$5.95k Per Day,(35.46%),(62.53%),(2.01%),$1.21m,$2.60k Per Day,$712.80k,$3.96k Per Day,(38.77%),(59.09%),(2.14%)
JSHealth Vitamins,RETAILER,08/30/2023,$6.98k,$0.00 Per Day,$6.98k,$6.98k Per Day,(0%),(100%),(0%),$45.28k,$0.00 Per Day,$45.21k,$6.46k Per Day,(0%),(99.85%),(0.15%),$328.99k,$0.00 Per Day,$328.63k,$10.95k Per Day,(0%),(99.89%),(0.11%),$696.05k,$0.00 Per Day,$672.09k,$7.47k Per Day,(0%),(96.56%),(3.44%),$831.93k,$0.00 Per Day,$747.97k,$4.16k Per Day,(0%),(89.91%),(10.09%)
Mingtawn Wearables,RETAILER,09/19/2023,$6.53k,$0.00 Per Day,$6.50k,$6.50k Per Day,(0%),(99.56%),(0.44%),$45.53k,$0.00 Per Day,$45.05k,$6.44k Per Day,(0%),(98.93%),(1.07%),$320.72k,$0.00 Per Day,$226.34k,$7.54k Per Day,(0%),(70.57%),(29.43%),$744.23k,$0.00 Per Day,$623.31k,$6.93k Per Day,(0%),(83.75%),(16.25%),$1.23m,$0.00 Per Day,$1.09m,$6.05k Per Day,(0%),(88.73%),(11.27%)
4KMILESShop,RETAILER,07/21/2023,$9.87k,$0.00 Per Day,$9.71k,$9.71k Per Day,(0%),(98.32%),(1.68%),$61.62k,$0.00 Per Day,$60.31k,$8.62k Per Day,(0%),(97.88%),(2.12%),$333.38k,$0.00 Per Day,$327.37k,$10.91k Per Day,(0%),(98.2%),(1.8%),$965.26k,$0.00 Per Day,$917.32k,$10.19k Per Day,(0%),(95.03%),(4.97%),$2.31m,$0.00 Per Day,$2.19m,$12.17k Per Day,(0%),(94.75%),(5.25%)
Book & Mortar,BRAND,08/01/2023,$10.74k,$0.00 Per Day,$8.96k,$8.96k Per Day,(0%),(83.43%),(16.57%),$94.65k,$0.00 Per Day,$80.15k,$11.45k Per Day,(0%),(84.67%),(15.33%),$339.94k,$0.00 Per Day,$281.00k,$9.37k Per Day,(0%),(82.66%),(17.34%),$1.08m,$0.00 Per Day,$768.62k,$8.54k Per Day,(0%),(71.5%),(28.5%),$2.36m,$0.00 Per Day,$1.62m,$9.02k Per Day,(0%),(68.7%),(31.3%)
Dokotoo,BRAND,01/26/2024,$9.60k,$3.29k Per Day,$5.50k,$5.50k Per Day,(34.28%),(57.27%),(8.45%),$87.19k,$1.36k Per Day,$66.70k,$9.53k Per Day,(10.88%),(76.5%),(12.62%),$332.96k,$911.56 Per Day,$273.53k,$9.12k Per Day,(8.21%),(82.15%),(9.64%),$593.39k,$777.71 Per Day,$374.22k,$4.16k Per Day,(11.8%),(63.06%),(25.14%),$786.32k,$388.86 Per Day,$470.97k,$2.62k Per Day,(8.9%),(59.9%),(31.2%)
AISOON STORE,RETAILER,11/01/2023,$4.55k,$0.00 Per Day,$4.35k,$4.35k Per Day,(0%),(95.57%),(4.43%),$28.63k,$216.75 Per Day,$25.91k,$3.70k Per Day,(5.3%),(90.48%),(4.22%),$323.30k,$50.58 Per Day,$301.01k,$10.03k Per Day,(0.47%),(93.1%),(6.43%),$862.33k,$31.97 Per Day,$749.92k,$8.33k Per Day,(0.33%),(86.96%),(12.7%),$1.47m,$177.16 Per Day,$1.23m,$6.82k Per Day,(2.17%),(83.47%),(14.36%)
VTOPMART-TT,RETAILER,01/02/2024,$9.77k,$0.00 Per Day,$9.77k,$9.77k Per Day,(0%),(100%),(0%),$93.88k,$0.00 Per Day,$91.26k,$13.04k Per Day,(0%),(97.21%),(2.79%),$323.55k,$3.74 Per Day,$313.76k,$10.46k Per Day,(0.03%),(96.97%),(2.99%),$777.96k,$1.25 Per Day,$715.58k,$7.95k Per Day,(0.01%),(91.98%),(8%),$1.11m,$0.62 Per Day,$1.01m,$5.59k Per Day,(0.01%),(90.58%),(9.41%)
Stella xuan,BRAND,06/18/2024,$7.86k,$0.00 Per Day,$7.70k,$7.70k Per Day,(0%),(97.98%),(2.02%),$66.98k,$0.00 Per Day,$64.76k,$9.25k Per Day,(0%),(96.67%),(3.33%),$319.70k,$1.99 Per Day,$304.58k,$10.15k Per Day,(0.02%),(95.27%),(4.71%),$594.56k,$3.64 Per Day,$551.61k,$6.90k Per Day,(0.05%),(92.78%),(7.18%),$594.56k,$3.64 Per Day,$551.61k,$6.90k Per Day,(0.05%),(92.78%),(7.18%)
OBOEY Sleep Solutions,RETAILER,01/13/2024,$10.33k,$0.00 Per Day,$10.33k,$10.33k Per Day,(0%),(100%),(0%),$66.21k,$923.18 Per Day,$59.75k,$8.54k Per Day,(9.76%),(90.24%),(0%),$324.70k,$1.38k Per Day,$283.16k,$9.44k Per Day,(12.77%),(87.21%),(0.02%),$539.09k,$460.64 Per Day,$471.62k,$5.24k Per Day,(7.69%),(87.48%),(4.83%),$741.23k,$230.32 Per Day,$666.01k,$3.70k Per Day,(5.59%),(89.85%),(4.56%)
COSYBAY,RETAILER,02/10/2024,$11.51k,$219.53 Per Day,$11.01k,$11.01k Per Day,(1.91%),(95.69%),(2.41%),$62.60k,$37.38 Per Day,$60.13k,$8.59k Per Day,(0.42%),(96.05%),(3.53%),$319.91k,$28.50 Per Day,$306.95k,$10.23k Per Day,(0.27%),(95.95%),(3.78%),$694.06k,$119.45 Per Day,$539.08k,$5.99k Per Day,(1.55%),(77.67%),(20.78%),$1.09m,$59.72 Per Day,$687.63k,$3.82k Per Day,(0.99%),(63.21%),(35.8%)
Dezkly,BRAND,01/17/2024,$58.80k,$60.71 Per Day,$58.74k,$58.74k Per Day,(0.1%),(99.9%),(0%),$128.69k,$28.67 Per Day,$128.49k,$18.36k Per Day,(0.16%),(99.84%),(0%),$357.56k,$60.68 Per Day,$355.68k,$11.86k Per Day,(0.51%),(99.48%),(0.02%),$1.35m,$21.23 Per Day,$1.32m,$14.70k Per Day,(0.14%),(98.24%),(1.62%),$2.07m,$10.61 Per Day,$1.98m,$11.01k Per Day,(0.09%),(95.96%),(3.95%)
Sunshine Sisters,RETAILER,08/02/2023,$8.98k,$3.20k Per Day,$4.30k,$4.30k Per Day,(35.62%),(47.89%),(16.48%),$60.53k,$3.01k Per Day,$29.33k,$4.19k Per Day,(34.85%),(48.45%),(16.7%),$318.26k,$4.18k Per Day,$143.06k,$4.77k Per Day,(39.43%),(44.95%),(15.62%),$1.02m,$4.36k Per Day,$358.27k,$3.98k Per Day,(38.42%),(35.09%),(26.49%),$1.45m,$2.86k Per Day,$436.04k,$2.42k Per Day,(35.59%),(30.14%),(34.27%)
Curvyfaja,BRAND,12/14/2023,$6.23k,$0.00 Per Day,$6.22k,$6.22k Per Day,(0%),(99.77%),(0.23%),$52.62k,$0.00 Per Day,$50.43k,$7.20k Per Day,(0%),(95.84%),(4.16%),$308.62k,$0.00 Per Day,$290.64k,$9.69k Per Day,(0%),(94.17%),(5.83%),$750.68k,$0.00 Per Day,$640.32k,$7.11k Per Day,(0%),(85.3%),(14.7%),$999.28k,$0.00 Per Day,$692.80k,$3.85k Per Day,(0%),(69.33%),(30.67%)
SKNBODY,BRAND,03/10/2024,$4.79k,$0.00 Per Day,$4.79k,$4.79k Per Day,(0%),(100%),(0%),$36.74k,$0.00 Per Day,$35.73k,$5.10k Per Day,(0%),(97.24%),(2.76%),$299.29k,$1.89 Per Day,$294.84k,$9.83k Per Day,(0.02%),(98.51%),(1.47%),$2.29m,$1.12 Per Day,$2.24m,$24.86k Per Day,(0%),(97.71%),(2.29%),$3.89m,$0.56 Per Day,$3.83m,$21.27k Per Day,(0%),(98.48%),(1.51%)
The Inner Work,BRAND,09/12/2023,$9.07k,$1.14k Per Day,$7.93k,$7.93k Per Day,(12.52%),(87.48%),(0%),$55.82k,$703.23 Per Day,$50.90k,$7.27k Per Day,(8.82%),(91.18%),(0%),$306.32k,$764.43 Per Day,$283.32k,$9.44k Per Day,(7.49%),(92.49%),(0.02%),$708.58k,$893.63 Per Day,$618.82k,$6.88k Per Day,(11.35%),(87.33%),(1.32%),$1.06m,$1.02k Per Day,$863.55k,$4.80k Per Day,(17.24%),(81.22%),(1.54%)
