shop_name,shop_type,shop_earliest_date_recorded,shop_soa_revenue_Yesterday,shop_soa_revenue_per_day_Yesterday,shop_affiliate_revenue_Yesterday,shop_affiliate_revenue_per_day_Yesterday,shop_soa_revenue_share_Yesterday,shop_aff_revenue_share_Yesterday,shop_mall_revenue_share_Yesterday,shop_soa_revenue_Last 7 Days,shop_soa_revenue_per_day_Last 7 Days,shop_affiliate_revenue_Last 7 Days,shop_affiliate_revenue_per_day_Last 7 Days,shop_soa_revenue_share_Last 7 Days,shop_aff_revenue_share_Last 7 Days,shop_mall_revenue_share_Last 7 Days,shop_soa_revenue_Last 30 Days,shop_soa_revenue_per_day_Last 30 Days,shop_affiliate_revenue_Last 30 Days,shop_affiliate_revenue_per_day_Last 30 Days,shop_soa_revenue_share_Last 30 Days,shop_aff_revenue_share_Last 30 Days,shop_mall_revenue_share_Last 30 Days,shop_soa_revenue_Last 90 Days,shop_soa_revenue_per_day_Last 90 Days,shop_affiliate_revenue_Last 90 Days,shop_affiliate_revenue_per_day_Last 90 Days,shop_soa_revenue_share_Last 90 Days,shop_aff_revenue_share_Last 90 Days,shop_mall_revenue_share_Last 90 Days,shop_soa_revenue_Last 180 Days,shop_soa_revenue_per_day_Last 180 Days,shop_affiliate_revenue_Last 180 Days,shop_affiliate_revenue_per_day_Last 180 Days,shop_soa_revenue_share_Last 180 Days,shop_aff_revenue_share_Last 180 Days,shop_mall_revenue_share_Last 180 Days
ISEE HAIR BEAUTY,BRAND,07/28/2023,$17.21k,$8.87k Per Day,$6.03k,$6.03k Per Day,(51.56%),(35.02%),(13.42%),$198.26k,$10.18k Per Day,$72.42k,$10.35k Per Day,(35.94%),(36.53%),(27.53%),$1.15m,$10.82k Per Day,$453.23k,$15.11k Per Day,(28.33%),(39.57%),(32.09%),$2.40m,$9.69k Per Day,$1.09m,$12.14k Per Day,(36.3%),(45.47%),(18.23%),$3.95m,$7.36k Per Day,$2.09m,$11.63k Per Day,(33.54%),(53.03%),(13.43%)
Nekteck,BRAND,11/10/2023,$18.81k,$2.45k Per Day,$15.59k,$15.59k Per Day,(13.02%),(82.89%),(4.09%),$185.42k,$1.22k Per Day,$157.25k,$22.46k Per Day,(4.62%),(84.81%),(10.57%),$1.10m,$1.61k Per Day,$912.26k,$30.41k Per Day,(4.39%),(82.78%),(12.83%),$2.09m,$1.02k Per Day,$1.67m,$18.61k Per Day,(4.39%),(80.21%),(15.4%),$3.32m,$575.35 Per Day,$2.85m,$15.81k Per Day,(3.12%),(85.78%),(11.1%)
Cowsar Appliance,BRAND,11/19/2023,$21.75k,$2.46k Per Day,$19.29k,$19.29k Per Day,(11.31%),(88.69%),(0%),$186.82k,$1.93k Per Day,$171.93k,$24.56k Per Day,(7.23%),(92.03%),(0.74%),$1.10m,$1.68k Per Day,$1.03m,$34.36k Per Day,(4.59%),(93.93%),(1.48%),$6.49m,$1.16k Per Day,$6.01m,$66.74k Per Day,(1.61%),(92.59%),(5.8%),$11.12m,$581.00 Per Day,$10.35m,$57.50k Per Day,(0.94%),(93.06%),(6%)
Halara Workleisure,BRAND,12/20/2023,$27.48k,$4.77k Per Day,$21.22k,$21.22k Per Day,(17.37%),(77.23%),(5.4%),$217.12k,$4.34k Per Day,$170.02k,$24.29k Per Day,(13.98%),(78.31%),(7.72%),$1.09m,$4.89k Per Day,$820.66k,$27.36k Per Day,(13.44%),(75.24%),(11.32%),$2.98m,$3.32k Per Day,$2.05m,$22.83k Per Day,(10.01%),(68.9%),(21.09%),$6.79m,$1.66k Per Day,$5.48m,$30.45k Per Day,(4.39%),(80.65%),(14.95%)
YOUNGLA,RETAILER,01/13/2024,$17.84k,$3.02k Per Day,$13.54k,$13.54k Per Day,(16.91%),(75.91%),(7.18%),$135.40k,$1.53k Per Day,$112.48k,$16.07k Per Day,(7.92%),(83.07%),(9.01%),$1.09m,$1.87k Per Day,$950.59k,$31.69k Per Day,(5.14%),(87.3%),(7.56%),$3.23m,$1.58k Per Day,$2.62m,$29.16k Per Day,(4.42%),(81.38%),(14.21%),$4.31m,$1.15k Per Day,$3.20m,$17.78k Per Day,(4.79%),(74.26%),(20.94%)
Geoorood pet shop,BRAND,11/14/2023,$22.34k,$63.89 Per Day,$21.60k,$21.60k Per Day,(0.29%),(96.67%),(3.04%),$192.51k,$45.64 Per Day,$174.59k,$24.94k Per Day,(0.17%),(90.69%),(9.14%),$1.09m,$105.06 Per Day,$905.97k,$30.20k Per Day,(0.29%),(83.26%),(16.45%),$2.04m,$119.34 Per Day,$1.68m,$18.63k Per Day,(0.53%),(82.04%),(17.44%),$3.31m,$59.67 Per Day,$2.93m,$16.28k Per Day,(0.32%),(88.42%),(11.26%)
OQ HAIR SHOP,BRAND,08/23/2023,$29.38k,$13.96k Per Day,$14.11k,$14.11k Per Day,(47.52%),(48.01%),(4.48%),$189.81k,$13.08k Per Day,$93.53k,$13.36k Per Day,(48.24%),(49.27%),(2.49%),$1.09m,$14.78k Per Day,$586.50k,$19.55k Per Day,(40.86%),(54.03%),(5.12%),$3.68m,$12.03k Per Day,$2.23m,$24.76k Per Day,(29.43%),(60.54%),(10.03%),$8.58m,$12.10k Per Day,$5.66m,$31.47k Per Day,(25.39%),(66.04%),(8.57%)
Blackline Car Care,BRAND,07/25/2023,$27.33k,$0.00 Per Day,$26.70k,$26.70k Per Day,(0%),(97.71%),(2.29%),$293.51k,$0.00 Per Day,$272.34k,$38.91k Per Day,(0%),(92.79%),(7.21%),$1.07m,$0.00 Per Day,$956.03k,$31.87k Per Day,(0%),(89.05%),(10.95%),$2.48m,$0.00 Per Day,$2.17m,$24.06k Per Day,(0%),(87.46%),(12.54%),$3.82m,$0.00 Per Day,$3.44m,$19.09k Per Day,(0%),(89.94%),(10.06%)
Intense Oud,BRAND,09/02/2023,$7.94k,$607.80 Per Day,$5.79k,$5.79k Per Day,(7.65%),(72.93%),(19.41%),$107.23k,$942.04 Per Day,$85.18k,$12.17k Per Day,(6.15%),(79.44%),(14.41%),$1.07m,$2.12k Per Day,$622.67k,$20.76k Per Day,(5.97%),(58.43%),(35.61%),$2.29m,$772.68 Per Day,$1.51m,$16.75k Per Day,(3.04%),(65.9%),(31.06%),$4.58m,$386.34 Per Day,$3.27m,$18.14k Per Day,(1.52%),(71.25%),(27.23%)
ecozy Appliances,BRAND,07/21/2023,$41.06k,$69.98 Per Day,$40.43k,$40.43k Per Day,(0.17%),(98.47%),(1.36%),$438.09k,$501.31 Per Day,$422.69k,$60.38k Per Day,(0.8%),(96.49%),(2.71%),$1.05m,$460.04 Per Day,$975.70k,$32.52k Per Day,(1.31%),(92.88%),(5.81%),$3.63m,$196.22 Per Day,$3.40m,$37.74k Per Day,(0.49%),(93.48%),(6.03%),$5.63m,$98.11 Per Day,$5.33m,$29.59k Per Day,(0.31%),(94.57%),(5.12%)
