video_title,video_tags,video_music_info,video_publish_date,video_duration,video_advertising_information,video_earliest_date_recorded,video_views_yesterday,video_views_per_day_yesterday,item_sold_yesterday,item_sold_per_day_yesterday,video_revenue_yesterday,video_revenue_per_day_yesterday,video_new_followers_yesterday,video_new_followers_per_day_yesterday,video_ad_view_ratio_yesterday,video_ad_revenue_ratio_yesterday,video_ad_spend_yesterday,video_ad_roas_yesterday,video_views_last_7_days,video_views_per_day_last_7_days,item_sold_last_7_days,item_sold_per_day_last_7_days,video_revenue_last_7_days,video_revenue_per_day_last_7_days,video_new_followers_last_7_days,video_new_followers_per_day_last_7_days,video_ad_view_ratio_last_7_days,video_ad_revenue_ratio_last_7_days,video_ad_spend_last_7_days,video_ad_roas_last_7_days,video_views_last_30_days,video_views_per_day_last_30_days,item_sold_last_30_days,item_sold_per_day_last_30_days,video_revenue_last_30_days,video_revenue_per_day_last_30_days,video_new_followers_last_30_days,video_new_followers_per_day_last_30_days,video_ad_view_ratio_last_30_days,video_ad_revenue_ratio_last_30_days,video_ad_spend_last_30_days,video_ad_roas_last_30_days,video_views_last_90_days,video_views_per_day_last_90_days,item_sold_last_90_days,item_sold_per_day_last_90_days,video_revenue_last_90_days,video_revenue_per_day_last_90_days,video_new_followers_last_90_days,video_new_followers_per_day_last_90_days,video_ad_view_ratio_last_90_days,video_ad_revenue_ratio_last_90_days,video_ad_spend_last_90_days,video_ad_roas_last_90_days,video_views_last_180_days,video_views_per_day_last_180_days,item_sold_last_180_days,item_sold_per_day_last_180_days,video_revenue_last_180_days,video_revenue_per_day_last_180_days,video_new_followers_last_180_days,video_new_followers_per_day_last_180_days,video_ad_view_ratio_last_180_days,video_ad_revenue_ratio_last_180_days,video_ad_spend_last_180_days,video_ad_roas_last_180_days
Effecient and effective with an air quality monitor. Really love it.,N/A,"May 3, 2024",N/A,N/A,N/A,05/04/2024,4.05k,4.05k Per Day,16,16 Per Day,$1.41k,$1.41k Per Day,45,45 Per Day,0%,0%,$0.00,0,82.86k,11.84k Per Day,196,28 Per Day,$17.29k,$2.47k Per Day,165,23.57 Per Day,0%,0%,$0.00,0,564.99k,18.83k Per Day,1.28k,42.67 Per Day,$95.28k,$3.18k Per Day,2.29k,76.37 Per Day,47.71%,40.87%,$5.73k,6.79,1.72m,19.08k Per Day,2.63k,29.22 Per Day,$171.28k,$1.90k Per Day,18.89k,209.87 Per Day,23.95%,26.17%,$15.86k,2.83,4.3m,23.91k Per Day,3.35k,18.62 Per Day,$220.39k,$1.22k Per Day,25.24k,140.2 Per Day,66.28%,37.62%,$72.71k,1.14
who eles dgaf abt shit that used to bother them after taking ashwagandha,#ashwagandha #ashwagandhasupplements #fypage,original sound - takinperxc,"Jul 31, 2024",15s,19 Days (2024-08-11 - 2024-09-04),07/31/2024,102.34k,102.34k Per Day,174,174 Per Day,$2.31k,$2.31k Per Day,65,65 Per Day,>90%,>90%,$1.43k,1.61,419.09k,59.87k Per Day,546,78 Per Day,$7.27k,$1.04k Per Day,709,101.29 Per Day,48.50%,42.49%,$2.78k,1.11,6.33m,210.91k Per Day,7.05k,234.87 Per Day,$95.18k,$3.17k Per Day,7.76k,258.67 Per Day,>90%,>90%,$117.42k,0.75,8.21m,91.24k Per Day,7.45k,82.74 Per Day,$100.83k,$1.12k Per Day,7.76k,86.22 Per Day,72.15%,87.51%,$117.42k,0.75,8.21m,45.62k Per Day,7.45k,41.37 Per Day,$100.83k,$560.19 Per Day,7.76k,43.11 Per Day,72.15%,87.51%,$117.42k,0.75
Your grandmother’s story needs to be told..,#grandma #grandparents #lifestory,original sound - vrtx0o,"Aug 22, 2024",17s,No record of Advertising placement was found,08/23/2024,2.05m,2.05m Per Day,488,488 Per Day,$5.37k,$5.37k Per Day,677,677 Per Day,0%,0%,$0.00,0,8.58m,1.23m Per Day,2.73k,390 Per Day,$30.06k,$4.29k Per Day,2.01k,287 Per Day,0%,0%,$0.00,0,20.77m,692.2k Per Day,8.86k,295.27 Per Day,$94.99k,$3.17k Per Day,3.75k,125.03 Per Day,0%,0%,$0.00,0,20.77m,230.73k Per Day,8.86k,98.42 Per Day,$94.99k,$1.06k Per Day,3.75k,41.68 Per Day,0%,0%,$0.00,0,20.77m,115.37k Per Day,8.86k,49.21 Per Day,$94.99k,$527.73 Per Day,3.75k,20.84 Per Day,0%,0%,$0.00,0
It's like magic 👀,#carcleaning #carhacks #creatorsearchinsights #dealsforyoudays #homecleaning #homehacks #howto #lifehavk #momhack #steamcleaner #steamcleaning #tiktokshop #viral,original sound - madisonmarsingill,"Jul 2, 2024",39s,62 Days (2024-07-05 - 2024-09-04),07/02/2024,29.24k,29.24k Per Day,80,80 Per Day,$2.74k,$2.74k Per Day,0,0 Per Day,>90%,>90%,$1.39k,1.97,239.1k,34.16k Per Day,599,85.57 Per Day,$20.48k,$2.93k Per Day,249,35.57 Per Day,>90%,>90%,$8.68k,2.36,1.41m,47.05k Per Day,2.74k,91.33 Per Day,$94.97k,$3.17k Per Day,822,27.4 Per Day,>90%,>90%,$42.93k,2.21,3.49m,38.78k Per Day,7.88k,87.56 Per Day,$301.62k,$3.35k Per Day,2.05k,22.78 Per Day,>90%,>90%,$160.05k,1.88,3.49m,19.39k Per Day,7.88k,43.78 Per Day,$301.62k,$1.68k Per Day,2.05k,11.39 Per Day,>90%,>90%,$160.05k,1.88
This is why I love @tarte cosmetics they make everything accessible to everyone to try! Their tubing mascara is a forver favorite of mine and now its available in brown! *results may vary,#brownmascara #deals #makeuptrend #mascara #summermakeup #tartecosmetics #tubingmascara #waterproofmascara,original sound - kellylkruger,"Aug 4, 2024",2m 15s,No record of Advertising placement was found,08/04/2024,5.46m,181.91k Per Day,3.51k,116.83 Per Day,$94.64k,$3.15k Per Day,6.19k,206.43 Per Day,0%,0%,$0.00,0,5.46m,181.91k Per Day,3.51k,116.83 Per Day,$94.64k,$3.15k Per Day,6.19k,206.43 Per Day,0%,0%,$0.00,0,5.46m,181.91k Per Day,3.51k,116.83 Per Day,$94.64k,$3.15k Per Day,6.19k,206.43 Per Day,0%,0%,$0.00,0,5.46m,60.67k Per Day,3.51k,38.99 Per Day,$94.74k,$1.05k Per Day,6.6k,73.32 Per Day,0%,0%,$0.00,0,5.46m,30.33k Per Day,3.51k,19.49 Per Day,$94.74k,$526.35 Per Day,6.6k,36.66 Per Day,0%,0%,$0.00,0
THEY ARE ALMOST GONE!! RUN FOREST RUN!!,#comfortable #cozyathome #downcool #kingsize #roomdecor #roommakeover #tiktokshop,original sound - Kailynn ❤️,"Jul 25, 2024",22s,7 Days (2024-08-15 - 2024-09-02),07/26/2024,11.92k,11.92k Per Day,4,4 Per Day,$163.36,$163.36 Per Day,65,65 Per Day,0%,0%,$0.00,0,201.85k,28.84k Per Day,118,16.86 Per Day,$4.80k,$685.90 Per Day,577,82.43 Per Day,34.89%,14.46%,$1.96k,0.36,3.32m,110.76k Per Day,2.38k,79.17 Per Day,$94.44k,$3.15k Per Day,4.6k,153.4 Per Day,35.55%,36.46%,$24.75k,1.39,4.08m,45.38k Per Day,3.03k,33.62 Per Day,$118.03k,$1.31k Per Day,6.31k,70.11 Per Day,28.92%,29.18%,$24.75k,1.39,4.08m,22.69k Per Day,3.03k,16.81 Per Day,$118.03k,$655.72 Per Day,6.31k,35.06 Per Day,28.92%,29.18%,$24.75k,1.39
OK WHAT MAGIC IS IN THIS!! @Kelsey ✨ youre a goddess this sooo changed the summer game,#beautytok #fyp #plussizeboutique #plussizefashion #plussizefinds #plussizeootd #shapellx #shapewear #shapeweargirl #shapewearreview #snatchedwaist #summerdress #sundress #tiktokmademebuylt #weddingattire #weddingseason,original sound - influencedqueens,"Jun 10, 2024",1m 22s,11 Days (2024-06-10 - 2024-07-29),06/10/2024,33.28k,33.28k Per Day,84,84 Per Day,$3.36k,$3.36k Per Day,536,536 Per Day,0%,0%,$0.00,0,348.65k,49.81k Per Day,651,93 Per Day,$22.36k,$3.19k Per Day,4.42k,631.43 Per Day,0%,0%,$0.00,0,1.58m,52.71k Per Day,2.6k,86.77 Per Day,$94.35k,$3.15k Per Day,18.12k,604.13 Per Day,0%,0%,$0.00,0,21.88m,243.08k Per Day,16.38k,182.01 Per Day,$547.68k,$6.09k Per Day,78.92k,876.83 Per Day,88.18%,72.63%,$614.94k,0.65,21.88m,121.54k Per Day,16.38k,91.01 Per Day,$547.68k,$3.04k Per Day,78.92k,438.42 Per Day,88.18%,72.63%,$614.94k,0.65
"Replying to @Jos this portable rolling sit to stand desk will be perfect for teachers! standing desk diy, rolling standing desk setup, rolling standing desk for desktop, rolling standing desk walking pad",#dealsforyoudays #portabledesk #rollingdesk #teacherdesk,original sound - Kierra 🎀 Family & Faves,"Jul 9, 2024",18s,39 Days (2024-07-19 - 2024-09-04),07/09/2024,41.74k,41.74k Per Day,19,19 Per Day,$891.29,$891.29 Per Day,14,14 Per Day,>90%,>90%,$802.94,1.11,337.41k,48.2k Per Day,147,21 Per Day,$7.38k,$1.05k Per Day,119,17 Per Day,75.10%,78.14%,$6.70k,0.86,4.24m,141.44k Per Day,1.71k,56.93 Per Day,$94.03k,$3.13k Per Day,981,32.7 Per Day,>90%,>90%,$88.84k,1.04,19.27m,214.12k Per Day,3.46k,38.44 Per Day,$184.39k,$2.05k Per Day,3.7k,41.08 Per Day,34.07%,75.95%,$141.54k,0.99,19.27m,107.06k Per Day,3.46k,19.22 Per Day,$184.39k,$1.02k Per Day,3.7k,20.54 Per Day,34.07%,75.95%,$141.54k,0.99
Life saver.,#documents #familyorganization #momsoftiktok #organization,original sound - paigehigginsphoto,"Apr 23, 2024",42s,24 Days (2024-05-02 - 2024-08-09),05/23/2024,193.51k,193.51k Per Day,120,120 Per Day,$4.32k,$4.32k Per Day,26,26 Per Day,0%,0%,$0.00,0,482.27k,68.9k Per Day,388,55.43 Per Day,$14.61k,$2.09k Per Day,42,6 Per Day,0%,0%,$0.00,0,2.97m,99.03k Per Day,2.49k,82.93 Per Day,$93.89k,$3.13k Per Day,282,9.4 Per Day,29.40%,24.54%,$28.49k,0.81,4.28m,47.59k Per Day,3.66k,40.67 Per Day,$138.64k,$1.54k Per Day,1.31k,14.52 Per Day,20.39%,16.62%,$28.49k,0.81,28.82m,160.11k Per Day,15.77k,87.62 Per Day,$459.09k,$2.55k Per Day,8.47k,47.04 Per Day,29.38%,39.22%,$276.15k,0.65
Replying to @Whitney Anderson125 there is a reason GoPure neck cream won the Today Show Award for the best neck cream! Because it actually works!,#gopureneckcream #neckcream,Happy,"Aug 12, 2024",44s,20 Days (2024-08-12 - 2024-09-04),08/12/2024,90.2k,90.2k Per Day,69,69 Per Day,$2.79k,$2.79k Per Day,103,103 Per Day,>90%,>90%,$1.11k,2.52,1.32m,188.7k Per Day,858,122.57 Per Day,$34.75k,$4.96k Per Day,884,126.29 Per Day,>90%,>90%,$15.64k,2.22,2.96m,98.8k Per Day,2.28k,75.87 Per Day,$93.88k,$3.13k Per Day,3.29k,109.7 Per Day,>90%,>90%,$37.21k,2.52,2.96m,32.93k Per Day,2.28k,25.29 Per Day,$93.88k,$1.04k Per Day,3.29k,36.57 Per Day,>90%,>90%,$37.21k,2.52,2.96m,16.47k Per Day,2.28k,12.64 Per Day,$93.88k,$521.56 Per Day,3.29k,18.28 Per Day,>90%,>90%,$37.21k,2.52
This diffusior oil is one of the best i have used. Smells like you walked into a fancy hotel. Multiple different scents. Summer is here and the kids are home.,#cleanhome #dealsforyoudays #diffuser #essentialoils #freshscent #julydeals #maverick #summerscent #tiktokshopsummersale,original sound - @thekimberlyJeanne,"Jul 7, 2024",13s,27 Days (2024-07-17 - 2024-09-04),07/07/2024,35.19k,35.19k Per Day,188,188 Per Day,$1.55k,$1.55k Per Day,12,12 Per Day,>90%,>90%,$375.73,4.12,1.35m,193.12k Per Day,7.2k,1.03k Per Day,$67.45k,$9.64k Per Day,325,46.43 Per Day,>90%,>90%,$15.63k,4.31,2.16m,72.14k Per Day,9.81k,326.87 Per Day,$93.55k,$3.12k Per Day,603,20.1 Per Day,>90%,>90%,$23.63k,3.78,3.73m,41.46k Per Day,20.8k,231.13 Per Day,$216.36k,$2.40k Per Day,1.53k,16.98 Per Day,66.76%,58.36%,$31.88k,3.96,3.73m,20.73k Per Day,20.8k,115.57 Per Day,$216.36k,$1.20k Per Day,1.53k,8.49 Per Day,66.76%,58.36%,$31.88k,3.96
Me encanto el color es super cute 💗🎀🤩nunca tendras mal aliento con esto !!! @MySmile_US,#bracket #brackets #f #flossing #foryoupage #hilodental #hilodentaldeagua #irrigacion #limpiador #limpiadordedientes #oralcare #oralhealth #oralhygiene #oralirrigator #shopdeals #teethcleaner #teethcleaning #tiktokshop #waterflosser,original sound - Ivonne Rojas 🐆🖤,"Aug 13, 2024",36s,7 Days (2024-08-16 - 2024-09-02),08/13/2024,45.03k,45.03k Per Day,7,7 Per Day,$307.65,$307.65 Per Day,177,177 Per Day,0%,0%,$0.00,0,1.38m,196.66k Per Day,278,39.71 Per Day,$12.22k,$1.75k Per Day,1.37k,195.14 Per Day,82.74%,79.14%,$19.88k,0.49,7.71m,257.08k Per Day,2.12k,70.73 Per Day,$93.26k,$3.11k Per Day,6.53k,217.67 Per Day,47.14%,45.29%,$59.00k,0.72,7.71m,85.69k Per Day,2.12k,23.58 Per Day,$93.26k,$1.04k Per Day,6.53k,72.56 Per Day,47.14%,45.29%,$59.00k,0.72,7.71m,42.85k Per Day,2.12k,11.79 Per Day,$93.26k,$518.12 Per Day,6.53k,36.28 Per Day,47.14%,45.29%,$59.00k,0.72
Replying to @Donna Ellis,#bluecollar #fypage #kneepain #massage #massager #physicaltherapy #tiktokshop #titkokviral #wellness,original sound - chobeeboy21,"Jul 18, 2024",27s,19 Days (2024-07-28 - 2024-09-04),07/27/2024,164.78k,164.78k Per Day,62,62 Per Day,$2.85k,$2.85k Per Day,35,35 Per Day,>90%,>90%,$1.88k,1.52,1.05m,150.23k Per Day,629,89.86 Per Day,$25.75k,$3.68k Per Day,230,32.86 Per Day,81.78%,83.01%,$10.82k,1.98,5.43m,180.92k Per Day,2.36k,78.7 Per Day,$91.99k,$3.07k Per Day,1.58k,52.53 Per Day,82.13%,72.71%,$62.55k,1.07,8.15m,90.58k Per Day,3.19k,35.44 Per Day,$128.93k,$1.43k Per Day,2.52k,28.01 Per Day,88.10%,80.53%,$149.33k,0.7,8.15m,45.29k Per Day,3.19k,17.72 Per Day,$128.93k,$716.26 Per Day,2.52k,14.01 Per Day,88.10%,80.53%,$149.33k,0.7
Replying to @Jade 🦋 theses bundles are the TRUTH! thank me later 💕 @Wequeen,#fyp #tiktokbundles,original sound - xoxo.audioss,"May 18, 2024",51s,64 Days (2024-05-19 - 2024-08-22),05/23/2024,5.12k,5.12k Per Day,12,12 Per Day,$1.42k,$1.42k Per Day,0,0 Per Day,0%,0%,$0.00,0,35.39k,5.06k Per Day,92,13.14 Per Day,$10.86k,$1.55k Per Day,65,9.29 Per Day,0%,0%,$0.00,0,283.53k,9.45k Per Day,806,26.87 Per Day,$91.78k,$3.06k Per Day,503,16.77 Per Day,69.97%,75.15%,$4.64k,14.87,1m,11.14k Per Day,2.21k,24.59 Per Day,$243.45k,$2.71k Per Day,2.37k,26.31 Per Day,81.29%,82.19%,$19.21k,10.42,1.48m,8.24k Per Day,2.69k,14.93 Per Day,$289.93k,$1.61k Per Day,3.02k,16.79 Per Day,87.23%,84.98%,$35.28k,6.98
An honest review!,#primebites #protein #proteinbrownies #snackideas #ttsacl,original sound - claire_bear_blackheart,"Jan 20, 2024",2m 16s,7 Days (2024-01-26 - 2024-04-08),01/21/2024,22.05k,22.05k Per Day,15,15 Per Day,$605.85,$605.85 Per Day,12,12 Per Day,0%,0%,$0.00,0,944.39k,134.91k Per Day,1.25k,178.71 Per Day,$37.42k,$5.35k Per Day,803,114.71 Per Day,0%,0%,$0.00,0,2.59m,86.24k Per Day,3.01k,100.23 Per Day,$91.06k,$3.04k Per Day,2.43k,80.97 Per Day,0%,0%,$0.00,0,4.27m,47.46k Per Day,5.06k,56.22 Per Day,$144.44k,$1.60k Per Day,4.67k,51.86 Per Day,0%,0%,$0.00,0,7.21m,40.07k Per Day,9k,50.02 Per Day,$262.03k,$1.46k Per Day,14.68k,81.58 Per Day,12.59%,10.18%,$26.44k,1.01
Tik tok did not disappoint me with this one!! 🥰This scent smells so good! Im definitely ordering more!,#60daycarfreshener #bourbonvanilla #caraccessories #cardiffuser #carfreshener #fragrance #freshener #smellgood #tiktokcarfreshner,nobody else sped up,"Aug 30, 2024",1m 53s,No record of Advertising placement was found,08/30/2024,1.14m,1.14m Per Day,4.14k,4.14k Per Day,$22.78k,$22.78k Per Day,828,828 Per Day,0%,0%,$0.00,0,11.56m,1.65m Per Day,18.29k,2.61k Per Day,$91.01k,$13.00k Per Day,6.58k,940.57 Per Day,0%,0%,$0.00,0,11.56m,385.47k Per Day,18.29k,609.5 Per Day,$91.01k,$3.03k Per Day,6.58k,219.47 Per Day,0%,0%,$0.00,0,11.56m,128.49k Per Day,18.29k,203.17 Per Day,$91.01k,$1.01k Per Day,6.58k,73.16 Per Day,0%,0%,$0.00,0,11.56m,64.25k Per Day,18.29k,101.58 Per Day,$91.01k,$505.61 Per Day,6.58k,36.58 Per Day,0%,0%,$0.00,0
Now everytting is organized and in one place ✔️,#adulting #familyorganization #married #organization #wifeduties,original sound - amandasmithh_,"Jun 9, 2024",32s,39 Days (2024-06-15 - 2024-09-04),06/09/2024,240.51k,240.51k Per Day,73,73 Per Day,$2.63k,$2.63k Per Day,49,49 Per Day,>90%,>90%,$7.84k,0.34,1.44m,205.86k Per Day,652,93.14 Per Day,$24.40k,$3.49k Per Day,273,39 Per Day,>90%,>90%,$47.00k,0.52,5.25m,175.17k Per Day,2.47k,82.33 Per Day,$90.94k,$3.03k Per Day,1.23k,41.1 Per Day,>90%,>90%,$156.65k,0.53,14.19m,157.68k Per Day,6.61k,73.42 Per Day,$252.03k,$2.80k Per Day,4.53k,50.3 Per Day,66.67%,72.83%,$308.60k,0.59,14.19m,78.84k Per Day,6.61k,36.71 Per Day,$252.03k,$1.40k Per Day,4.53k,25.15 Per Day,66.67%,72.83%,$308.60k,0.59
There is also an option to include the lunch bag as well. This is SO inexpensive! Check your coupons so you can get the BEST deal 💖,#bentobox #bentoboxlunch #kidlunchideas #lunchideasforkids #lunchideasforschool #lunchkit #packinglunchformykid #preschool #schoollunch #schoollunchideas #schooltime #tiktokshopbacktoschool,original sound - Elizabeth 🌺,"Aug 6, 2024",28s,8 Days (2024-08-22 - 2024-09-02),08/06/2024,13.25k,13.25k Per Day,6,6 Per Day,$200.34,$200.34 Per Day,40,40 Per Day,0%,0%,$0.00,0,456.56k,65.22k Per Day,134,19.14 Per Day,$4.33k,$618.12 Per Day,350,50 Per Day,>90%,86.11%,$12.86k,0.29,4.34m,144.52k Per Day,3.59k,119.67 Per Day,$90.76k,$3.03k Per Day,4.78k,159.23 Per Day,33.40%,18.01%,$42.29k,0.39,4.34m,48.17k Per Day,3.59k,39.89 Per Day,$90.76k,$1.01k Per Day,4.78k,53.08 Per Day,33.40%,18.01%,$42.29k,0.39,4.34m,24.09k Per Day,3.59k,19.94 Per Day,$90.76k,$504.23 Per Day,4.78k,26.54 Per Day,33.40%,18.01%,$42.29k,0.39
Replying to @Painting More Martinez tienen que tener cuidado con esto!,#ashwagandha #blackseedoil #seamoss #shilajit,original sound - SaludParatiDiario,"Jul 10, 2024",36s,37 Days (2024-07-10 - 2024-09-02),07/10/2024,65.9k,65.9k Per Day,78,78 Per Day,$3.90k,$3.90k Per Day,17,17 Per Day,0%,0%,$0.00,0,527.36k,75.34k Per Day,442,63.14 Per Day,$22.10k,$3.16k Per Day,801,114.43 Per Day,67.46%,56.56%,$7.12k,1.76,2.47m,82.37k Per Day,1.81k,60.37 Per Day,$90.53k,$3.02k Per Day,9.14k,304.73 Per Day,79.25%,71.84%,$37.51k,1.73,5.85m,65.04k Per Day,3.58k,39.72 Per Day,$133.88k,$1.49k Per Day,19.15k,212.73 Per Day,86.42%,77.01%,$96.14k,1.07,5.85m,32.52k Per Day,3.58k,19.86 Per Day,$133.88k,$743.78 Per Day,19.15k,106.37 Per Day,86.42%,77.01%,$96.14k,1.07
Replying to @brianca lockhart LINK BELOWWWWW. HURRY UP AND GET YALL. THEYRE WORTH IT ❤️✨,#quickweave #theonlybasha #tiktokshopbundles #wequeenhair,Pretty (Sped Up),"Mar 28, 2024",36s,108 Days (2024-04-01 - 2024-09-04),05/23/2024,25.03k,25.03k Per Day,48,48 Per Day,$5.67k,$5.67k Per Day,10,10 Per Day,>90%,>90%,$621.26,9.12,112.12k,16.02k Per Day,248,35.43 Per Day,$29.29k,$4.18k Per Day,34,4.86 Per Day,>90%,>90%,$2.54k,11.53,324.37k,10.81k Per Day,780,26 Per Day,$90.46k,$3.02k Per Day,159,5.3 Per Day,>90%,>90%,$7.43k,12.17,898.59k,9.98k Per Day,1.94k,21.56 Per Day,$215.69k,$2.40k Per Day,652,7.24 Per Day,>90%,>90%,$21.53k,10.02,2.14m,11.9k Per Day,2.38k,13.22 Per Day,$259.75k,$1.44k Per Day,2.7k,14.97 Per Day,>90%,>90%,$49.03k,5.3
,#ashwagandha #cortisol #sleep #vitamina #vitamins,original sound - dailydosevits,"Jun 21, 2024",59s,No record of Advertising placement was found,07/02/2024,74.64k,74.64k Per Day,29,29 Per Day,$869.13,$869.13 Per Day,157,157 Per Day,0%,0%,$0.00,0,616.49k,88.07k Per Day,286,40.86 Per Day,$8.57k,$1.22k Per Day,1.61k,230.29 Per Day,0%,0%,$0.00,0,4.56m,151.85k Per Day,2.63k,87.67 Per Day,$90.26k,$3.01k Per Day,12.97k,432.27 Per Day,0%,0%,$0.00,0,8.64m,95.99k Per Day,3.91k,43.41 Per Day,$136.76k,$1.52k Per Day,22.19k,246.52 Per Day,0%,0%,$0.00,0,8.64m,47.99k Per Day,3.91k,21.71 Per Day,$136.76k,$759.76 Per Day,22.19k,123.26 Per Day,0%,0%,$0.00,0
Replying to @J.Nine The best shirt ever for the best show ever made ✅,#detectivebenson #elliotandolivia #elliotstabler #elliotstablerandoliviabenson #lawandorder #lawandorderspecialvictimsunit #lawandordersvufanpage #oliviabenson #oliviabensonsvu #svu #svuedit,original sound - wrldoflyrics_,"Aug 27, 2024",41s,No record of Advertising placement was found,08/27/2024,949.18k,949.18k Per Day,175,175 Per Day,$4.61k,$4.61k Per Day,401,401 Per Day,0%,0%,$0.00,0,13.97m,2m Per Day,3.42k,488.71 Per Day,$90.21k,$12.89k Per Day,3.64k,520 Per Day,0%,0%,$0.00,0,13.97m,465.59k Per Day,3.42k,114.03 Per Day,$90.21k,$3.01k Per Day,3.64k,121.33 Per Day,0%,0%,$0.00,0,13.97m,155.2k Per Day,3.42k,38.01 Per Day,$90.21k,$1.00k Per Day,3.64k,40.44 Per Day,0%,0%,$0.00,0,13.97m,77.6k Per Day,3.42k,19.01 Per Day,$90.21k,$501.18 Per Day,3.64k,20.22 Per Day,0%,0%,$0.00,0
Best shoes you can get for $11 right now,#cheap #comfy #comfyshoes #mensshoes #shoes #shoestyle #tiktokmademebuyit #tiktokmarketplace,original sound - Deals with Ty,"Aug 16, 2024",1m 6s,13 Days (2024-08-16 - 2024-08-31),08/16/2024,26.95k,26.95k Per Day,34,34 Per Day,$510.00,$510.00 Per Day,208,208 Per Day,0%,0%,$0.00,0,991.89k,141.7k Per Day,759,108.43 Per Day,$11.04k,$1.58k Per Day,2.55k,364 Per Day,64.85%,49.95%,$9.98k,0.55,17.09m,569.59k Per Day,8.75k,291.63 Per Day,$89.92k,$3.00k Per Day,11.6k,386.7 Per Day,>90%,>90%,$216.06k,0.39,17.09m,189.86k Per Day,8.75k,97.21 Per Day,$89.92k,$999.14 Per Day,11.6k,128.9 Per Day,>90%,>90%,$216.06k,0.39,17.09m,94.93k Per Day,8.75k,48.61 Per Day,$89.92k,$499.57 Per Day,11.6k,64.45 Per Day,>90%,>90%,$216.06k,0.39
Replying to @coreyboat good purchase you wont regret it,#airpurifier #clean #homehealth #tiktokmademebuyit #tiktokshop,original sound - sauceyfinds,"Jul 15, 2024",19s,No record of Advertising placement was found,07/26/2024,25.54k,25.54k Per Day,20,20 Per Day,$1.06k,$1.06k Per Day,56,56 Per Day,0%,0%,$0.00,0,329.19k,47.03k Per Day,338,48.29 Per Day,$17.87k,$2.55k Per Day,231,33 Per Day,0%,0%,$0.00,0,1.31m,43.74k Per Day,1.83k,60.9 Per Day,$89.89k,$3.00k Per Day,298,9.93 Per Day,0%,0%,$0.00,0,1.61m,17.86k Per Day,2.33k,25.86 Per Day,$114.98k,$1.28k Per Day,330,3.67 Per Day,0%,0%,$0.00,0,1.61m,8.93k Per Day,2.33k,12.93 Per Day,$114.98k,$638.76 Per Day,330,1.83 Per Day,0%,0%,$0.00,0
"welp, love this!",#kewling #multiplugoutlet #outletcover #powrui #shotscar_is_back #surgeprotector #tiktokshop,original sound - shotscar_is_back,"Aug 22, 2024",1m 53s,12 Days (2024-08-23 - 2024-09-04),08/22/2024,69.47k,69.47k Per Day,68,68 Per Day,$1.81k,$1.81k Per Day,246,246 Per Day,>90%,>90%,$661.34,2.73,1.16m,165.23k Per Day,1.38k,196.71 Per Day,$34.41k,$4.92k Per Day,2.78k,397.14 Per Day,>90%,>90%,$14.06k,2.45,2.73m,91.04k Per Day,3.53k,117.67 Per Day,$89.76k,$2.99k Per Day,5.49k,182.93 Per Day,>90%,>90%,$41.15k,2.18,2.73m,30.35k Per Day,3.53k,39.22 Per Day,$89.76k,$997.37 Per Day,5.49k,60.98 Per Day,>90%,>90%,$41.15k,2.18,2.73m,15.17k Per Day,3.53k,19.61 Per Day,$89.76k,$498.69 Per Day,5.49k,30.49 Per Day,>90%,>90%,$41.15k,2.18
Currently stuffing my face and so happy they restarted this sale!!! Literally a#rundontwalk,#foodtok #momofuku #momofukunoodles #ramen #rundontwalk #slurpnoodles #spicy,original sound - gypsysgains,"Aug 21, 2024",1m 2s,No record of Advertising placement was found,08/21/2024,118.1k,118.1k Per Day,124,124 Per Day,$1.93k,$1.93k Per Day,22,22 Per Day,0%,0%,$0.00,0,7.52m,1.07m Per Day,3.38k,482.57 Per Day,$64.61k,$9.23k Per Day,603,86.14 Per Day,0%,0%,$0.00,0,9.14m,304.77k Per Day,4.67k,155.73 Per Day,$89.49k,$2.98k Per Day,1.88k,62.5 Per Day,0%,0%,$0.00,0,9.14m,101.59k Per Day,4.67k,51.91 Per Day,$89.49k,$994.37 Per Day,1.88k,20.83 Per Day,0%,0%,$0.00,0,9.14m,50.79k Per Day,4.67k,25.96 Per Day,$89.49k,$497.19 Per Day,1.88k,10.42 Per Day,0%,0%,$0.00,0
This has seriously been a game changer for me when it comes to bad breath,N/A,"Jul 18, 2024",N/A,N/A,N/A,07/18/2024,64.83k,64.83k Per Day,79,79 Per Day,$1.22k,$1.22k Per Day,389,389 Per Day,0%,0%,$0.00,0,907.55k,129.65k Per Day,760,108.57 Per Day,$11.73k,$1.68k Per Day,1.13k,161.43 Per Day,0%,0%,$0.00,0,4.33m,144.3k Per Day,5.79k,192.9 Per Day,$89.18k,$2.97k Per Day,2.39k,79.6 Per Day,0%,0%,$0.00,0,4.33m,48.1k Per Day,5.79k,64.3 Per Day,$89.18k,$990.85 Per Day,2.4k,26.68 Per Day,0%,0%,$0.00,0,4.33m,24.05k Per Day,5.79k,32.15 Per Day,$89.18k,$495.42 Per Day,2.4k,13.34 Per Day,0%,0%,$0.00,0
